titulo,artistas,album,url
The Three Kisses of Love,Bee Gees,Vaults - 24 Original Tracks - Early Years,https://music.youtube.com/watch?v=59lPuDvtUlE
Could It Be,Bee Gees,Vaults - 24 Original Tracks - Early Years,https://music.youtube.com/watch?v=4iAQ3dfgjB4
Claustrophobia,Bee Gees,Vaults - 24 Original Tracks - Early Years,https://music.youtube.com/watch?v=k2UBf1YlCQA
Every Day I Have to Cry Some,Bee Gees,Vaults - 24 Original Tracks - Early Years,https://music.youtube.com/watch?v=CbtF2nlRYzQ
Wine & Women,Bee Gees,Vaults - 24 Original Tracks - Early Years,https://music.youtube.com/watch?v=kJvYVSTlvBg
Second Hand People,Bee Gees,Vaults - 24 Original Tracks - Early Years,https://music.youtube.com/watch?v=OVI6BJ_Uuc4
You Wouldn't Know,Bee Gees,Vaults - 24 Original Tracks - Early Years,https://music.youtube.com/watch?v=8Rz_BG17N18
Glasshouse,Bee Gees,Vaults - 24 Original Tracks - Early Years,https://music.youtube.com/watch?v=cdmbl1apVRg
Turn Around Look at Me,Bee Gees,Vaults - 24 Original Tracks - Early Years,https://music.youtube.com/watch?v=XPIgG1Tf2Qs
Spicks+specs,Bee Gees,Vaults - 24 Original Tracks - Early Years,https://music.youtube.com/watch?v=hJBVgocMCaY
Monday's Rain,Bee Gees,Vaults - 24 Original Tracks - Early Years,https://music.youtube.com/watch?v=sfXst-GamHg
I Am the World,Bee Gees,Vaults - 24 Original Tracks - Early Years,https://music.youtube.com/watch?v=uNCewgm42vU
Big Chance,Bee Gees,Vaults - 24 Original Tracks - Early Years,https://music.youtube.com/watch?v=_IMg_ZJiKzw
How Many Birds,Bee Gees,Vaults - 24 Original Tracks - Early Years,https://music.youtube.com/watch?v=aYImc3iGoRw
The Battle of the Blue and Grey,Bee Gees,Vaults - 24 Original Tracks - Early Years,https://music.youtube.com/watch?v=kDbNmNaJ8gc
Follow the Wind,Bee Gees,Vaults - 24 Original Tracks - Early Years,https://music.youtube.com/watch?v=lXyANtYdNnc
And the Children Laughing,Bee Gees,Vaults - 24 Original Tracks - Early Years,https://music.youtube.com/watch?v=5VGFbYbgU50
I Don’t Know Why I Bother Myself,Bee Gees,Vaults - 24 Original Tracks - Early Years,https://music.youtube.com/watch?v=gTXQP0J3zqs
I Don’t Think It’s Funny,Bee Gees,Vaults - 24 Original Tracks - Early Years,https://music.youtube.com/watch?v=ihBXVVzwuBY
I Want Home,Bee Gees,Vaults - 24 Original Tracks - Early Years,https://music.youtube.com/watch?v=Oi5E97HJAq0
I Was a Lover,Bee Gees,Vaults - 24 Original Tracks - Early Years,https://music.youtube.com/watch?v=bMOR_zMY6_4
Playdown,Bee Gees,Vaults - 24 Original Tracks - Early Years,https://music.youtube.com/watch?v=NBPVM4-8lEY
Theme from Jamie McPheeters,Bee Gees,Vaults - 24 Original Tracks - Early Years,https://music.youtube.com/watch?v=e9wvYI8wIGs
To Be or Not to Be,Bee Gees,Vaults - 24 Original Tracks - Early Years,https://music.youtube.com/watch?v=GehC28cbxeM
Stayin Alive,Bee Gees,How Can You Mend A Broken Heart,https://music.youtube.com/watch?v=I_izvAbhExY
How Can You Mend A Broken Heart,Bee Gees,How Can You Mend A Broken Heart,https://music.youtube.com/watch?v=1EzMM1-9tds
Spicks And Specks,Bee Gees,How Can You Mend A Broken Heart,https://music.youtube.com/watch?v=jJWvBqg7mq0
New York Mining Disaster 1941,Bee Gees,How Can You Mend A Broken Heart,https://music.youtube.com/watch?v=ps-Qq7ucMA0
To Love Somebody,Bee Gees,How Can You Mend A Broken Heart,https://music.youtube.com/watch?v=u9-xS6IP03s
I Started A Joke,Bee Gees,How Can You Mend A Broken Heart,https://music.youtube.com/watch?v=2EMkZ1jzoGI
Massachusetts,Bee Gees,How Can You Mend A Broken Heart,https://music.youtube.com/watch?v=iJ0hp4ZrDvg
I've Gotta Get A Message To You,Bee Gees,How Can You Mend A Broken Heart,https://music.youtube.com/watch?v=v2e7wnMMR1I
Wind Of Change,Bee Gees,How Can You Mend A Broken Heart,https://music.youtube.com/watch?v=S9wKf0mabrA
Jive Talkin',Bee Gees,How Can You Mend A Broken Heart,https://music.youtube.com/watch?v=XBw25CrUS-o
Nights On Broadway,Bee Gees,How Can You Mend A Broken Heart,https://music.youtube.com/watch?v=Za2DRKMDtjw
Fanny (Be Tender With My Love),Bee Gees,How Can You Mend A Broken Heart,https://music.youtube.com/watch?v=v4lC3ZsbTsI
You Should Be Dancing (Full Version),Bee Gees,How Can You Mend A Broken Heart,https://music.youtube.com/watch?v=yriRRaYPXfw
Love So Right,Bee Gees,How Can You Mend A Broken Heart,https://music.youtube.com/watch?v=Ck_AHnB6rI8
Children Of The World,Bee Gees,How Can You Mend A Broken Heart,https://music.youtube.com/watch?v=8hZjogH_cx0
"Night Fever (From ""Saturday Night Fever"" Soundtrack)",Bee Gees,How Can You Mend A Broken Heart,https://music.youtube.com/watch?v=-ihs-vT9T3Q
More Than A Woman,Bee Gees,How Can You Mend A Broken Heart,https://music.youtube.com/watch?v=uQ9_MwZIaoc
How Deep Is Your Love,Bee Gees,How Can You Mend A Broken Heart,https://music.youtube.com/watch?v=XpqqjU7u5Yc
Tragedy,Bee Gees,How Can You Mend A Broken Heart,https://music.youtube.com/watch?v=I248-SyRDnU
Too Much Heaven,Bee Gees,How Can You Mend A Broken Heart,https://music.youtube.com/watch?v=nREV8bQJ1MA
Love You Inside Out,Bee Gees,How Can You Mend A Broken Heart,https://music.youtube.com/watch?v=kVq9tcGFMhk
For Whom The Bell Tolls,Bee Gees,How Can You Mend A Broken Heart,https://music.youtube.com/watch?v=jTowyYFXIUY
Holiday,Bee Gees,How Can You Mend A Broken Heart,https://music.youtube.com/watch?v=CpHYMf_r2HI
Run To Me,Bee Gees,How Can You Mend A Broken Heart,https://music.youtube.com/watch?v=qj-FUJfzfak
Words,Bee Gees,How Can You Mend A Broken Heart,https://music.youtube.com/watch?v=I3lKRLa_WGE
You Win Again,Bee Gees,Bee Gees: 1981 - 2001,https://music.youtube.com/watch?v=KZY9oYSSjFI
One (Single Version),Bee Gees,Bee Gees: 1981 - 2001,https://music.youtube.com/watch?v=eP_a9XrHZgE
Happy Ever After,Bee Gees,Bee Gees: 1981 - 2001,https://music.youtube.com/watch?v=C93X2Pso1S4
For Whom The Bell Tolls,Bee Gees,Bee Gees: 1981 - 2001,https://music.youtube.com/watch?v=jTowyYFXIUY
Alone,Bee Gees,Bee Gees: 1981 - 2001,https://music.youtube.com/watch?v=HBwqiq1PN0E
This Is Where I Came In,Bee Gees,Bee Gees: 1981 - 2001,https://music.youtube.com/watch?v=5a95WRSWvHA
The Three Kisses of Love,The Bee Gees,Wine and Women,https://music.youtube.com/watch?v=4mMTQWuARko
Could It Be,The Bee Gees,Wine and Women,https://music.youtube.com/watch?v=Mhw4MSRE98M
Claustrophobia,The Bee Gees,Wine and Women,https://music.youtube.com/watch?v=XgcDX_jJ1yE
Every Day I Have To Cry Some,The Bee Gees,Wine and Women,https://music.youtube.com/watch?v=viFQqPI6Xvs
Wine and Women,The Bee Gees,Wine and Women,https://music.youtube.com/watch?v=H_PGJg_9pqM
Second Hand People,The Bee Gees,Wine and Women,https://music.youtube.com/watch?v=DBI5F_Mocxk
You Wouldn't Know,The Bee Gees,Wine and Women,https://music.youtube.com/watch?v=G5LfRWKmngY
Glasshouse,The Bee Gees,Wine and Women,https://music.youtube.com/watch?v=GxJ8mxr-Fzc
"Turn Around, Look At Me",The Bee Gees,Wine and Women,https://music.youtube.com/watch?v=MzesXWY5nTU
Spicks and Specks,The Bee Gees,Wine and Women,https://music.youtube.com/watch?v=OGGQ6T-Cczo
Monday's Rain,The Bee Gees,Wine and Women,https://music.youtube.com/watch?v=ZfTdzBy0NZA
I Am The World,The Bee Gees,Wine and Women,https://music.youtube.com/watch?v=-oc4243h5vE
Big Chance,The Bee Gees,Wine and Women,https://music.youtube.com/watch?v=XNBzP2_tk3g
How Many Birds,The Bee Gees,Wine and Women,https://music.youtube.com/watch?v=39kTQc0V6I0
The Battle Of The Blue And Grey,The Bee Gees,Wine and Women,https://music.youtube.com/watch?v=wu7AYdGrTOs
Follow The Wind,The Bee Gees,Wine and Women,https://music.youtube.com/watch?v=w8gBRmmw79c
Three Kisses Of Love,Bee Gees,The Bee Gees 1963-1966,https://music.youtube.com/watch?v=hNQ86iQPL2U
Spicks And Specks,Bee Gees,The Bee Gees 1963-1966,https://music.youtube.com/watch?v=vmWzfh6HF_A
How Love Was True,Bee Gees,The Bee Gees 1963-1966,https://music.youtube.com/watch?v=lbPRpJ5U6_M
How Many Birds,Bee Gees,The Bee Gees 1963-1966,https://music.youtube.com/watch?v=4T8cw2Bx7VY
Wine And Women,Bee Gees,The Bee Gees 1963-1966,https://music.youtube.com/watch?v=p4u4uuZyLBk
