titulo,artistas,album,url
"Get Up, Stand Up",Bob Marley & The Wailers,One Love (Original Motion Picture Soundtrack),https://music.youtube.com/watch?v=IhQEBAl3Gpk
"Roots, Rock, Reggae",Bob Marley & The Wailers,One Love (Original Motion Picture Soundtrack),https://music.youtube.com/watch?v=3MCQwShPzVg
I Shot The Sheriff,Bob Marley & The Wailers,One Love (Original Motion Picture Soundtrack),https://music.youtube.com/watch?v=wHKaNvSQORk
No More Trouble,Bob Marley & The Wailers,One Love (Original Motion Picture Soundtrack),https://music.youtube.com/watch?v=2RQwOy2rgvA
"War/No More Trouble (From ""Bob Marley: One Love"" Soundtrack)",Bob Marley & The Wailers,One Love (Original Motion Picture Soundtrack),https://music.youtube.com/watch?v=_ziAIdc2X9A
"So Jah S'eh (From ""Bob Marley: One Love"" Soundtrack)",Bob Marley & The Wailers,One Love (Original Motion Picture Soundtrack),https://music.youtube.com/watch?v=NkybJsjTBwk
Natural Mystic,Bob Marley & The Wailers,One Love (Original Motion Picture Soundtrack),https://music.youtube.com/watch?v=Gj9holHsi90
Turn Your Lights Down Low,Bob Marley & The Wailers,One Love (Original Motion Picture Soundtrack),https://music.youtube.com/watch?v=tDDn0KPgP40
Exodus,Bob Marley & The Wailers,One Love (Original Motion Picture Soundtrack),https://music.youtube.com/watch?v=OSOqWgqwynQ
Jamming,Bob Marley & The Wailers,One Love (Original Motion Picture Soundtrack),https://music.youtube.com/watch?v=oqVy6eRXc7Q
Concrete Jungle,Bob Marley & The Wailers,One Love (Original Motion Picture Soundtrack),https://music.youtube.com/watch?v=aNzQL3MQDkE
"No Woman, No Cry (Live At The Rainbow Theatre, London / 4th June 1977 / Remastered 2020)",Bob Marley & The Wailers,One Love (Original Motion Picture Soundtrack),https://music.youtube.com/watch?v=mZ6VezKMoRY
Three Little Birds,Bob Marley & The Wailers,One Love (Original Motion Picture Soundtrack),https://music.youtube.com/watch?v=HNBCVM4KbUM
Redemption Song,Bob Marley & The Wailers,One Love (Original Motion Picture Soundtrack),https://music.youtube.com/watch?v=yv5xonFSC4c
One Love / People Get Ready,Bob Marley & The Wailers,One Love (Original Motion Picture Soundtrack),https://music.youtube.com/watch?v=QMbvpftTEUs
Is This Love,Bob Marley & The Wailers,One Love (Original Motion Picture Soundtrack),https://music.youtube.com/watch?v=69RdQFDuYPI
Rastaman Chant,Bob Marley & The Wailers,One Love (Original Motion Picture Soundtrack),https://music.youtube.com/watch?v=gUaQYm-kEk4
Rastaman Chant (Live 1973),Bob Marley & The Wailers,Come Alive Today,https://music.youtube.com/watch?v=jHMT3-wwqoY
Bend Down Low (Live 1973),Bob Marley & The Wailers,Come Alive Today,https://music.youtube.com/watch?v=VNx2q-fXiUU
Slave Driver (Live 1973),Bob Marley & The Wailers,Come Alive Today,https://music.youtube.com/watch?v=yeLJkzo4nAI
You Can't Blame The Youth (Live 1973),Bob Marley & The Wailers,Come Alive Today,https://music.youtube.com/watch?v=Kv8gZfy0sEg
Stop That Train (Live 1973),Bob Marley & The Wailers,Come Alive Today,https://music.youtube.com/watch?v=Ask5BwySsQY
Burnin' & Lootin' (Live 1973),Bob Marley & The Wailers,Come Alive Today,https://music.youtube.com/watch?v=zQ2XEpwbCIc
Kinky Reggae (Live 1973),Bob Marley & The Wailers,Come Alive Today,https://music.youtube.com/watch?v=PQbhZbzu2pQ
"Get Up, Stand Up (Live 1973)",Bob Marley & The Wailers,Come Alive Today,https://music.youtube.com/watch?v=KICyTLlKDbM
Lively Up Yourself (Live 1973),Bob Marley & The Wailers,Come Alive Today,https://music.youtube.com/watch?v=a0asV0nkqm8
Walk The Proud Land (Live 1973),Bob Marley & The Wailers,Come Alive Today,https://music.youtube.com/watch?v=7xRNt6pHbmE
Riding High,Bob Marley & The Wailers,Riding High,https://music.youtube.com/watch?v=rHA0rRWgwKM
Hammer,Bob Marley & The Wailers,Riding High,https://music.youtube.com/watch?v=Kp64DCO777o
