titulo,artistas,album,url
Barbra Streisand - Boney M. Mega Mashup-Mix (128 BPM),"Boney M., La Bouche, No Mercy, and Chicken Soup",Barbra Streisand - Boney M. Goes Club,https://music.youtube.com/watch?v=8AvgQcCF6-s
"Boney M. Mega Mashup-Mix-Medley vs. No Mercy, Eruption, La Bouche (123 BPM)",Boney M.,Barbra Streisand - Boney M. Goes Club,https://music.youtube.com/watch?v=M_bqiOBoOAg
Ma Baker (Club Mix),Boney M.,Barbra Streisand - Boney M. Goes Club,https://music.youtube.com/watch?v=D_9WdSVssLE
Daddy Cool (Club Mix),Boney M.,Barbra Streisand - Boney M. Goes Club,https://music.youtube.com/watch?v=qbHe0U64uo8
Sunny (Club Mix),Boney M.,Barbra Streisand - Boney M. Goes Club,https://music.youtube.com/watch?v=LnM6Hz13E9w
Rivers Of Babylon (ZDF Die schönsten Melodien der Welt 23.04.1981) (Club Mix),Boney M.,Barbra Streisand - Boney M. Goes Club,https://music.youtube.com/watch?v=l3QxT-w3WMo
Gotta Go Home (Club Mix),Boney M.,Barbra Streisand - Boney M. Goes Club,https://music.youtube.com/watch?v=hBP9txbREWI
Rasputin (Club Mix),Boney M.,Barbra Streisand - Boney M. Goes Club,https://music.youtube.com/watch?v=16y1AkoZkmQ
Happy Song (Club Mix),Boney M.,Barbra Streisand - Boney M. Goes Club,https://music.youtube.com/watch?v=jtg4t5w71bE
Barbra Streisand vs. Marilyn Monroe (Club Mix),Boney M.,Barbra Streisand - Boney M. Goes Club,https://music.youtube.com/watch?v=lVVhS1CzgX4
Who The F**k Is WikiLeaks,Boney M. & Chicken Soup,Barbra Streisand - Boney M. Goes Club,https://music.youtube.com/watch?v=F757fKtZGR0
Be Bop A Lula (House Mix / Radio Edit),ZZ Queen vs. Boney M.,Barbra Streisand - Boney M. Goes Club,https://music.youtube.com/watch?v=Ug7Z3b966r4
Daddy Cool,Boney M.,Boney M.,https://music.youtube.com/watch?v=FYGTT7YhywA
Sunny,Boney M.,Boney M.,https://music.youtube.com/watch?v=hutlaauYa2c
No Woman No Cry,Boney M.,Boney M.,https://music.youtube.com/watch?v=2nUQPhq8-Co
Rivers of Babylon (Single Version),Boney M.,Boney M.,https://music.youtube.com/watch?v=l3QxT-w3WMo
I Feel Good,Boney M.,Boney M.,https://music.youtube.com/watch?v=XXyTUnyAGRQ
Bahama Mama,Boney M.,Boney M.,https://music.youtube.com/watch?v=y_J3OYH-AAo
Belfast,Boney M.,Boney M.,https://music.youtube.com/watch?v=LQivCtW0Juo
El Lute,Boney M.,Boney M.,https://music.youtube.com/watch?v=_FoVCBMkUw0
Rasputin (Single Version),Boney M.,Boney M.,https://music.youtube.com/watch?v=16y1AkoZkmQ
Ma Baker (Radio Edit),Boney M.,Boney M.,https://music.youtube.com/watch?v=9c5yPIQ3LQI
Love For Sale,Boney M.,Boney M.,https://music.youtube.com/watch?v=KsfF7oryQ7U
Motherless Child,Boney M.,Boney M.,https://music.youtube.com/watch?v=wwOn64PJB6U
Fever,Boney M.,Boney M.,https://music.youtube.com/watch?v=52HBDH5fYuM
