titulo,artistas,album,url
Let It Rock,Bon Jovi,Slippery When Wet (Deluxe Edition),https://music.youtube.com/watch?v=ntWAP4WXw_s
You Give Love A Bad Name,Bon Jovi,Slippery When Wet (Deluxe Edition),https://music.youtube.com/watch?v=KrZHPOeOxQQ
Livin' On A Prayer,Bon Jovi,Slippery When Wet (Deluxe Edition),https://music.youtube.com/watch?v=lDK9QqIzhwk
Social Disease,Bon Jovi,Slippery When Wet (Deluxe Edition),https://music.youtube.com/watch?v=rlTWYZpTYxw
Wanted Dead Or Alive,Bon Jovi,Slippery When Wet (Deluxe Edition),https://music.youtube.com/watch?v=SRvCvsRp5ho
Raise Your Hands,Bon Jovi,Slippery When Wet (Deluxe Edition),https://music.youtube.com/watch?v=QhAREJBN2wg
Without Love,Bon Jovi,Slippery When Wet (Deluxe Edition),https://music.youtube.com/watch?v=zq4NEMOjs3U
I'd Die For You,Bon Jovi,Slippery When Wet (Deluxe Edition),https://music.youtube.com/watch?v=oK1RV2etjy4
Never Say Goodbye,Bon Jovi,Slippery When Wet (Deluxe Edition),https://music.youtube.com/watch?v=ifm00JEjSeo
Wild In The Streets,Bon Jovi,Slippery When Wet (Deluxe Edition),https://music.youtube.com/watch?v=DeYorWrV6DI
Wanted Dead Or Alive (Acoustic Version),Bon Jovi,Slippery When Wet (Deluxe Edition),https://music.youtube.com/watch?v=NfOpxT4qAl0
Livin' On A Prayer (Thank You Goodnight Mix),Bon Jovi,Slippery When Wet (Deluxe Edition),https://music.youtube.com/watch?v=_JUVyWslDnk
Raise Your Hands (Extended Obie O'Brien Mix),Bon Jovi,Slippery When Wet (Deluxe Edition),https://music.youtube.com/watch?v=CnuQN2-ygfU
"Wild In The Streets (Live At Cincinnati Gardens, March 18, 1987)",Bon Jovi,Slippery When Wet (Deluxe Edition),https://music.youtube.com/watch?v=sYoeIrcdXrU
"Livin' On A Prayer (Live At Cobo Arena, Detroit, March 11, 1987)",Bon Jovi,Slippery When Wet (Deluxe Edition),https://music.youtube.com/watch?v=xLYrnCkOr08
"Wanted Dead Or Alive (Live At Cobo Arena, Detroit, March 11, 1987)",Bon Jovi,Slippery When Wet (Deluxe Edition),https://music.youtube.com/watch?v=CYhWZo3VZ9Y
"Let It Rock (Live At Nassau Coliseum, April 7, 1987)",Bon Jovi,Slippery When Wet (Deluxe Edition),https://music.youtube.com/watch?v=B4eLdGi-gFY
Legendary,Bon Jovi,Forever,https://music.youtube.com/watch?v=g83Y19JezCM
We Made It Look Easy,Bon Jovi,Forever,https://music.youtube.com/watch?v=on5beCqvfVI
Living Proof,Bon Jovi,Forever,https://music.youtube.com/watch?v=js8vwQgNmdk
Waves,Bon Jovi,Forever,https://music.youtube.com/watch?v=W6TpQ3JcYfE
Seeds,Bon Jovi,Forever,https://music.youtube.com/watch?v=tFdZUAZPVBA
Kiss The Bride,Bon Jovi,Forever,https://music.youtube.com/watch?v=zxnNaloQIBc
The People's House,Bon Jovi,Forever,https://music.youtube.com/watch?v=u7jmCp43xjo
Walls of Jericho,Bon Jovi,Forever,https://music.youtube.com/watch?v=8DbmM0ATxXg
I Wrote You A Song,Bon Jovi,Forever,https://music.youtube.com/watch?v=3JiAJBHdGxg
Living in Paradise,Bon Jovi,Forever,https://music.youtube.com/watch?v=KbkJ_yS6hN0
My First Guitar,Bon Jovi,Forever,https://music.youtube.com/watch?v=ygZNYMzWS3E
Hollow Man,Bon Jovi,Forever,https://music.youtube.com/watch?v=kLgFbgUGulA
Blood On Blood (Live),Bon Jovi,Blood on Blood,https://music.youtube.com/watch?v=TphK1Oy4OEU
I'd Die For You (Live),Bon Jovi,Blood on Blood,https://music.youtube.com/watch?v=hZAGsbW0mOo
Runaway (Live),Bon Jovi,Blood on Blood,https://music.youtube.com/watch?v=kZiEwbyD_P4
Dry County (Live),Bon Jovi,Blood on Blood,https://music.youtube.com/watch?v=2foGcYw7fwk
Hey God (Live),Bon Jovi,Blood on Blood,https://music.youtube.com/watch?v=uqqFo0GMI4I
Rockin' All Over The World (Live),Bon Jovi,Blood on Blood,https://music.youtube.com/watch?v=TiOzMRLqy5o
"Someday, I'll Be Saturday Night (Live)",Bon Jovi,Blood on Blood,https://music.youtube.com/watch?v=E4-rznmdEjE
Wild In The Streets (Live),Bon Jovi,Blood on Blood,https://music.youtube.com/watch?v=MUtzpKKOkAk
Keep The Faith (Live),Bon Jovi,Blood on Blood,https://music.youtube.com/watch?v=VwUHBIhmOiI
I Don't Like Mondays (Live),Bon Jovi,Blood on Blood,https://music.youtube.com/watch?v=na8Fi4cE7sc
This Ain't A Love Song (Live),Bon Jovi,Blood on Blood,https://music.youtube.com/watch?v=M2JqEhkOivk
You Give Love A Bad Name (Live 1987),Bon Jovi,From Dusk Til Dawn,https://music.youtube.com/watch?v=0ueu8MZlNKM
Wild In The Streets (Live 1987),Bon Jovi,From Dusk Til Dawn,https://music.youtube.com/watch?v=rMChfpa_yb8
Wanted: Dead Or Alive (Live 1987),Bon Jovi,From Dusk Til Dawn,https://music.youtube.com/watch?v=JlvHWDRnYQc
Silent Night (Live 1987),Bon Jovi,From Dusk Til Dawn,https://music.youtube.com/watch?v=aRXIiuZwWt4
Let It Rock (Live 1987),Bon Jovi,From Dusk Til Dawn,https://music.youtube.com/watch?v=Fzuh3ajQjq4
In And Out Of Love (Live 1987),Bon Jovi,From Dusk Til Dawn,https://music.youtube.com/watch?v=LBwsklM3FnU
Drift Away (Live 1987),Bon Jovi,From Dusk Til Dawn,https://music.youtube.com/watch?v=kG0vd70NF7c
Get Ready (Live 1987),Bon Jovi,From Dusk Til Dawn,https://music.youtube.com/watch?v=bdyYv43XWBs
Livin' On A Prayer (Live 1987),Bon Jovi,From Dusk Til Dawn,https://music.youtube.com/watch?v=m-tNyxDABjs
Runaway (Live 1987),Bon Jovi,From Dusk Til Dawn,https://music.youtube.com/watch?v=hTSWnWsNSTw
Rockin' All Over The World (Live 1995),Bon Jovi,From Dusk Til Dawn,https://music.youtube.com/watch?v=gMhRo2x759E
Hey God (Live 1995),Bon Jovi,From Dusk Til Dawn,https://music.youtube.com/watch?v=jbnjpDq7YFk
Livin' On A Prayer/You Give Love A Bad Name (Live 1995),Bon Jovi,From Dusk Til Dawn,https://music.youtube.com/watch?v=S0sb--1t2fg
Keep The Faith (Live 1995),Bon Jovi,From Dusk Til Dawn,https://music.youtube.com/watch?v=UErUVF52gho
