titulo,artistas,album,url
Brother Louie (New Version 2017),Modern Talking,Back for Gold,https://music.youtube.com/watch?v=GeD2zRk5b40
You're My Heart You're My Soul (New Version 2017),Modern Talking,Back for Gold,https://music.youtube.com/watch?v=IzIpUrJTehw
Cheri Cheri Lady (New Version 2017),Modern Talking,Back for Gold,https://music.youtube.com/watch?v=k5xV62Z-jlQ
You Can Win If You Want (New Version 2017),Modern Talking,Back for Gold,https://music.youtube.com/watch?v=3aGKBhk22YU
Atlantis Is Calling (New Version 2017),Modern Talking,Back for Gold,https://music.youtube.com/watch?v=HYVMZWJArxY
Geronimo's Cadillac (New Version 2017),Modern Talking,Back for Gold,https://music.youtube.com/watch?v=qfFcWcRynlw
Modern Talking Pop Titan Megamix 2k17 (Full Long Version),Modern Talking,Back for Gold,https://music.youtube.com/watch?v=pGvFUnHvk-c
Brother Louie,Modern Talking,Back for Gold,https://music.youtube.com/watch?v=Lp2qcCrdBLA
"You're My Heart, You're My Soul (Extended Version)",Modern Talking,Back for Gold,https://music.youtube.com/watch?v=4kHl4FoK1Ys
Cheri Cheri Lady,Modern Talking,Back for Gold,https://music.youtube.com/watch?v=eNvUS-6PTbs
You Can Win If You Want,Modern Talking,Back for Gold,https://music.youtube.com/watch?v=zxTsw4kW1Ew
Atlantis Is Calling (S.O.S. for Love),Modern Talking,Back for Gold,https://music.youtube.com/watch?v=CB57CuT4smM
Win The Race (Scooter Remix),Modern Talking,Back for Gold,https://music.youtube.com/watch?v=Q1oFBntTvDs
Shooting Star,Modern Talking,Back for Gold,https://music.youtube.com/watch?v=7_mkKTlqtkM
Juliet (Jeo's Remix),Modern Talking,Back for Gold,https://music.youtube.com/watch?v=Lyw_lhyewMk
Modern Talking Pop Titan Megamix 2k17 (3-Track DJ Promo),Modern Talking,Back for Gold,https://music.youtube.com/watch?v=EyTaSVo0gJQ
Modern Talking Pop Titan Megamix 2k17 (Chorus Short Mix),Modern Talking,Back for Gold,https://music.youtube.com/watch?v=jqluJ2msndI
TV Makes the Superstar (Radio Edit),Modern Talking,Universe,https://music.youtube.com/watch?v=hRe8sDqnZ5I
I'm No Rockefeller,Modern Talking,Universe,https://music.youtube.com/watch?v=K3aaqR9Z9y4
Mystery,Modern Talking,Universe,https://music.youtube.com/watch?v=MxJH0OaujfQ
Everybody Needs Somebody,Modern Talking,Universe,https://music.youtube.com/watch?v=FyTWr9mR6cA
Heart of an Angel,Modern Talking,Universe,https://music.youtube.com/watch?v=d8IpQG_bTOA
Who Will Be There,Modern Talking,Universe,https://music.youtube.com/watch?v=bEZ23m5F6ig
Knocking On My Door,Modern Talking,Universe,https://music.youtube.com/watch?v=JxMgd1D8Fj4
"Should I, Would I, Could I",Modern Talking,Universe,https://music.youtube.com/watch?v=s21Hgj-jNT8
Blackbird,Modern Talking,Universe,https://music.youtube.com/watch?v=-8Ov9oDYCLE
Life Is Too Short,Modern Talking,Universe,https://music.youtube.com/watch?v=njnoFG7fVXU
Nothing But The Truth,Modern Talking,Universe,https://music.youtube.com/watch?v=e-c816Eb1Yw
Superstar,Modern Talking,Universe,https://music.youtube.com/watch?v=TH3p44dDjHM
Ready for the Victory (Radio Version),Modern Talking,Victory,https://music.youtube.com/watch?v=S9pLWy6-XqU
I'm Gonna Be Strong,Modern Talking,Victory,https://music.youtube.com/watch?v=cpgBiDV6LCo
Don't Make Me Blue,Modern Talking,Victory,https://music.youtube.com/watch?v=OPPqkIZxX-s
Juliet,Modern Talking,Victory,https://music.youtube.com/watch?v=N8k0GKDlrZQ
Higher Than Heaven,Modern Talking,Victory,https://music.youtube.com/watch?v=NKki7qY1Lcg
You're Not Lisa,Modern Talking,Victory,https://music.youtube.com/watch?v=lNrGTeMIKok
When The Sky Rained Fire,Modern Talking,Victory,https://music.youtube.com/watch?v=n-9vFlSs5QQ
Summer In December,Modern Talking,Victory,https://music.youtube.com/watch?v=nxgwUVC5alc
10 Seconds to Countdown,Modern Talking,Victory,https://music.youtube.com/watch?v=17FANpWcQOs
Love To Love You,Modern Talking,Victory,https://music.youtube.com/watch?v=ruuXCMBwdxE
Blue Eyed Coloured Girl,Modern Talking,Victory,https://music.youtube.com/watch?v=gShbb4BdmlM
We Are Children Of The World,Modern Talking,Victory,https://music.youtube.com/watch?v=SKWIw5RSfjw
Mrs. Robota,Modern Talking,Victory,https://music.youtube.com/watch?v=krHoRKxmByw
If I...,Modern Talking,Victory,https://music.youtube.com/watch?v=CiYde2ABjEI
Who Will Love You Like I Do,Modern Talking,Victory,https://music.youtube.com/watch?v=5iKqq2tTrhc
Win the Race,Modern Talking,America,https://music.youtube.com/watch?v=Jxz48jvpTMQ
Last Exit to Brooklyn,Modern Talking,America,https://music.youtube.com/watch?v=eI8WV-Yn0DY
Maria,Modern Talking,America,https://music.youtube.com/watch?v=9GTdt-STC8M
SMS to My Heart,Modern Talking,America,https://music.youtube.com/watch?v=AtFtU5N3D_c
Cinderella Girl,Modern Talking,America,https://music.youtube.com/watch?v=kNqFMyUPobk
Why Does It Feel so Good,Modern Talking,America,https://music.youtube.com/watch?v=T8oqZ1GzZ98
Rain In My Heart,Modern Talking,America,https://music.youtube.com/watch?v=6X-dOALmz3I
Witchqueen Of Eldorado,Modern Talking,America,https://music.youtube.com/watch?v=6GvPxAglywU
Run To You,Modern Talking,America,https://music.youtube.com/watch?v=mXGENlp_F6Q
America,Modern Talking,America,https://music.youtube.com/watch?v=CFrtufL8ixE
For a Life Time,Modern Talking,America,https://music.youtube.com/watch?v=80PXLTmI_p4
From Coast To Coast,Modern Talking,America,https://music.youtube.com/watch?v=NSzrFvbsYus
There's Something In The Air,Modern Talking,America,https://music.youtube.com/watch?v=5vKXFd-yvH8
I Need You Now,Modern Talking,America,https://music.youtube.com/watch?v=fUD3n9lgd7Y
New York City Girl,Modern Talking,America,https://music.youtube.com/watch?v=vMKsxSQplMg
Send Me A Letter From Heaven,Modern Talking,America,https://music.youtube.com/watch?v=a4avwc9uLa8
China in Her Eyes,Modern Talking,2000 - Year Of The Dragon,https://music.youtube.com/watch?v=byK7Wh7gu2Q
Don't Take Away My Heart,Modern Talking,2000 - Year Of The Dragon,https://music.youtube.com/watch?v=ODiOVrVI-6Q
It's Your Smile,Modern Talking,2000 - Year Of The Dragon,https://music.youtube.com/watch?v=uHwqEr2s-dQ
Cosmic Girl,Modern Talking,2000 - Year Of The Dragon,https://music.youtube.com/watch?v=c2jh0Citpao
After Your Love Is Gone,Modern Talking,2000 - Year Of The Dragon,https://music.youtube.com/watch?v=G0NgK0jsWws
Girl Out Of My Dreams,Modern Talking,2000 - Year Of The Dragon,https://music.youtube.com/watch?v=7c1MyK6t83s
My Lonely Girl,Modern Talking,2000 - Year Of The Dragon,https://music.youtube.com/watch?v=NVMROt7JZrI
No Face No Name No Number,Modern Talking,2000 - Year Of The Dragon,https://music.youtube.com/watch?v=67tT2PbiWcI
Can't Let You Go,Modern Talking,2000 - Year Of The Dragon,https://music.youtube.com/watch?v=cok3FziNjd0
Part Time Lover,Modern Talking,2000 - Year Of The Dragon,https://music.youtube.com/watch?v=lhaFBxBvjnE
Time Is On My Side,Modern Talking,2000 - Year Of The Dragon,https://music.youtube.com/watch?v=ZLcmfH4tFQE
I'll Never Fall In Love Again,Modern Talking,2000 - Year Of The Dragon,https://music.youtube.com/watch?v=WwSziJOMQtU
Avec Toi,Modern Talking,2000 - Year Of The Dragon,https://music.youtube.com/watch?v=uZBRSKhkovo
I'm Not Guilty,Modern Talking,2000 - Year Of The Dragon,https://music.youtube.com/watch?v=UoQc6bs5Fzg
Fight For The Right Love,Modern Talking,2000 - Year Of The Dragon,https://music.youtube.com/watch?v=gYcZqkPEcCU
Walking In The Rain Of Paris,Modern Talking,2000 - Year Of The Dragon,https://music.youtube.com/watch?v=Bq_4YYadgcM
Fly to the Moon,Modern Talking,2000 - Year Of The Dragon,https://music.youtube.com/watch?v=uB3pnYbi2mE
Love Is Forever,Modern Talking,2000 - Year Of The Dragon,https://music.youtube.com/watch?v=c87mprjmuAw
China in Her Eyes (Video Version) (feat. Eric Singleton),Modern Talking,2000 - Year Of The Dragon,https://music.youtube.com/watch?v=uy2Y6SK3UMU
You Are Not Alone,Modern Talking,Alone,https://music.youtube.com/watch?v=gbU3DFdNOxo
Sexy Sexy Lover (Vocal Version),Modern Talking,Alone,https://music.youtube.com/watch?v=KoqYHDiB6ew
I Can't Give You More,Modern Talking,Alone,https://music.youtube.com/watch?v=qxg1UMOGKEk
Just Close Your Eyes,Modern Talking,Alone,https://music.youtube.com/watch?v=wk_PzBZ-4fo
Don't Let Me Go,Modern Talking,Alone,https://music.youtube.com/watch?v=Z8P8B-xEFXY
I'm So Much In Love,Modern Talking,Alone,https://music.youtube.com/watch?v=JHnQ9l5_OLU
Rouge Et Noire,Modern Talking,Alone,https://music.youtube.com/watch?v=DtKQRvYgnYo
All I Have,Modern Talking,Alone,https://music.youtube.com/watch?v=m8ewQMBpf7w
Can't Get Enough,Modern Talking,Alone,https://music.youtube.com/watch?v=HklxL83ueZk
Love Is Like a Rainbow,Modern Talking,Alone,https://music.youtube.com/watch?v=3sxgEjT8yPk
How You Mend A Broken Heart,Modern Talking,Alone,https://music.youtube.com/watch?v=lK2-2gFSvOE
It Hurts So Good,Modern Talking,Alone,https://music.youtube.com/watch?v=yFOyC9Rz_Es
I'll Never Give You Up,Modern Talking,Alone,https://music.youtube.com/watch?v=JRIxzvDjiQo
Don't Let Me Down,Modern Talking,Alone,https://music.youtube.com/watch?v=bhdwTRozCjI
Taxi Girl,Modern Talking,Alone,https://music.youtube.com/watch?v=XfQSuwMfDL0
For Always And Ever,Modern Talking,Alone,https://music.youtube.com/watch?v=LIVf9TVrs0k
Space Mix,Modern Talking,Alone,https://music.youtube.com/watch?v=3jvI66BvrFE
"You're My Heart, You're My Soul '98",Modern Talking,Back For Good/2nd,https://music.youtube.com/watch?v=u6EdMjo8d18
Brother Louie '98 (New Version),Modern Talking,Back For Good/2nd,https://music.youtube.com/watch?v=KRd1UeErBEo
I Will Follow You (New Hit '98),Modern Talking,Back For Good/2nd,https://music.youtube.com/watch?v=1Vz2GXMPVZQ
Cheri Cheri Lady (New Version),Modern Talking,Back For Good/2nd,https://music.youtube.com/watch?v=wgakmKPriTg
You Can Win If You Want (New Version),Modern Talking,Back For Good/2nd,https://music.youtube.com/watch?v=FBbCHVWsvGs
Don't Play with My Heart (New Hit '98),Modern Talking,Back For Good/2nd,https://music.youtube.com/watch?v=erADzd9Qdwo
Atlantis Is Calling (New Version),Modern Talking,Back For Good/2nd,https://music.youtube.com/watch?v=CfWlUblQKY0
Geronimo's Cadillac (New Version),Modern Talking,Back For Good/2nd,https://music.youtube.com/watch?v=A5C8AC6V2KQ
Give Me Peace On Earth (New Version),Modern Talking,Back For Good/2nd,https://music.youtube.com/watch?v=NOZ2hVrydlU
