titulo,artistas,album,url
Bad Moon Rising,Creedence Clearwater Revival,Bad Moon Rising: Shadows on the Bayou,https://music.youtube.com/watch?v=6ikuhSAlUYY
Tombstone Shadow,Creedence Clearwater Revival,Bad Moon Rising: Shadows on the Bayou,https://music.youtube.com/watch?v=IK5NONxWk40
I Put A Spell On You,Creedence Clearwater Revival,Bad Moon Rising: Shadows on the Bayou,https://music.youtube.com/watch?v=KWxDGQm2hKk
Graveyard Train,Creedence Clearwater Revival,Bad Moon Rising: Shadows on the Bayou,https://music.youtube.com/watch?v=NgLu2edkZGM
Pagan Baby,Creedence Clearwater Revival,Bad Moon Rising: Shadows on the Bayou,https://music.youtube.com/watch?v=pTDWCeCtyL0
It Came Out Of The Sky,Creedence Clearwater Revival,Bad Moon Rising: Shadows on the Bayou,https://music.youtube.com/watch?v=zwAcvIZzuM0
Sinister Purpose,Creedence Clearwater Revival,Bad Moon Rising: Shadows on the Bayou,https://music.youtube.com/watch?v=1wyWTol4wk4
Gloomy,Creedence Clearwater Revival,Bad Moon Rising: Shadows on the Bayou,https://music.youtube.com/watch?v=hGrv-gzXQLQ
Born On The Bayou,Creedence Clearwater Revival,Bad Moon Rising: Shadows on the Bayou,https://music.youtube.com/watch?v=fcTQCNntGEs
Effigy,Creedence Clearwater Revival,Bad Moon Rising: Shadows on the Bayou,https://music.youtube.com/watch?v=UcVEcKdMifU
Green River (Live),Creedence Clearwater Revival,Green River,https://music.youtube.com/watch?v=_kcrYSsFk2Q
Travelin' Band (Live),Creedence Clearwater Revival,Green River,https://music.youtube.com/watch?v=-fZO8pZqYDU
Born On The Bayou (Live),Creedence Clearwater Revival,Green River,https://music.youtube.com/watch?v=wRQwSEw1PkU
Lodi (Live),Creedence Clearwater Revival,Green River,https://music.youtube.com/watch?v=Eb3tTHBSa2Y
Keep On Chooglin' (Live),Creedence Clearwater Revival,Green River,https://music.youtube.com/watch?v=Yx0Zylyy0Ao
Up Around The Bend (Live),Creedence Clearwater Revival,Green River,https://music.youtube.com/watch?v=FobEXIpzhUg
Hey Tonight (Live),Creedence Clearwater Revival,Green River,https://music.youtube.com/watch?v=4ObUFDFdf3M
Born On The Bayou (Live 1971),Creedence Clearwater Revival,Keep On Burnin',https://music.youtube.com/watch?v=cziW7DagMbw
