titulo,artistas,album,url
Don't Joke with Fire,Dr. Alban,Back to Basics,https://music.youtube.com/watch?v=J12bx2rZwCQ
Push It,Dr. Alban,Back to Basics,https://music.youtube.com/watch?v=91dL-pmKoE8
I Wanna Know (feat. Efti),Dr. Alban,Back to Basics,https://music.youtube.com/watch?v=cYGlNeedCqw
Work Work,Dr. Alban,Back to Basics,https://music.youtube.com/watch?v=fX8tQHs1tkk
Give Me Lovin,Dr. Alban,Back to Basics,https://music.youtube.com/watch?v=tyIdLr71JMg
Single Searching,Dr. Alban,Back to Basics,https://music.youtube.com/watch?v=IV6n96-GtzE
The One,Dr. Alban,Back to Basics,https://music.youtube.com/watch?v=AOjPfNNPFPA
Habibi (feat. Melissa),Dr. Alban,Back to Basics,https://music.youtube.com/watch?v=TjNUBOFapeo
Music in Me,Dr. Alban,Back to Basics,https://music.youtube.com/watch?v=3X-MvY67N3o
Don't Joke with Fire (Alternative Mix),Dr. Alban,Back to Basics,https://music.youtube.com/watch?v=yRzPb35kC6M
Push It (Ragga Dub Mix),Dr. Alban,Back to Basics,https://music.youtube.com/watch?v=bPnNeR9s0VU
Work Work (Africa Recall Mix),Dr. Alban,Back to Basics,https://music.youtube.com/watch?v=AGfBiMxSy-0
Work Work (Moos Power Remix),Dr. Alban,Back to Basics,https://music.youtube.com/watch?v=2Zi_T4k-NO0
Because of You,Dr. Alban,Prescription,https://music.youtube.com/watch?v=4L6K8AYpQgA
What Do I Do,Dr. Alban,Prescription,https://music.youtube.com/watch?v=_tRTH3mavhw
I Like to Know,Dr. Alban,Prescription,https://music.youtube.com/watch?v=iemHFh5tBZs
Looking for Something,Dr. Alban,Prescription,https://music.youtube.com/watch?v=Reo5Laja3Lo
Beautiful Day,Dr. Alban,Prescription,https://music.youtube.com/watch?v=O6a6zzHvVbw
Talk About Love,Dr. Alban,Prescription,https://music.youtube.com/watch?v=C4EmtwYgeDQ
Rebel,Dr. Alban,Prescription,https://music.youtube.com/watch?v=IcTkas-IPKs
Born a Winner,Dr. Alban,Prescription,https://music.youtube.com/watch?v=jKi_VjZg6QI
Telephone Love,Dr. Alban,Prescription,https://music.youtube.com/watch?v=5y3l0GSenok
Get Up,Dr. Alban,Prescription,https://music.youtube.com/watch?v=Mk9bId8oNlE
Fuel 4 Love,Dr. Alban,Prescription,https://music.youtube.com/watch?v=7cEojoPuVpY
The Answer,Dr. Alban,Prescription,https://music.youtube.com/watch?v=GBsSCZ16jQo
It's My Life,Dr. Alban,It's My Life,https://music.youtube.com/watch?v=oW0VovnyjPY
I Feel the Music,Dr. Alban,It's My Life,https://music.youtube.com/watch?v=pk8LUjmq7sw
I Said It Once,Dr. Alban,It's My Life,https://music.youtube.com/watch?v=FUgwZmM2NH0
One Love,Dr. Alban,It's My Life,https://music.youtube.com/watch?v=1awOO_vqb7I
Proud! (To Be Afrikan),Dr. Alban,It's My Life,https://music.youtube.com/watch?v=FXNutqo0NJw
Sweet Little Girl,Dr. Alban,It's My Life,https://music.youtube.com/watch?v=bFLNkAhAQKQ
Away from Home,Dr. Alban,It's My Life,https://music.youtube.com/watch?v=AnXB3Vcj7_A
Cash Money,Dr. Alban,It's My Life,https://music.youtube.com/watch?v=b0In99kd4QM
So Long,Dr. Alban,It's My Life,https://music.youtube.com/watch?v=B8mVpUrV-6g
Rock Steady,Dr. Alban,It's My Life,https://music.youtube.com/watch?v=XaCSZeEQ090
Alabalaba (Woman'a'Sexy),Dr. Alban,It's My Life,https://music.youtube.com/watch?v=4U3OR4rucZA
Let the Beat Go On (Short Version),Dr. Alban,It's My Life,https://music.youtube.com/watch?v=oKs25yuV3_A
Go See the Dentist,Dr. Alban,It's My Life,https://music.youtube.com/watch?v=4_xbuxRq1js
Hard to Choose,Dr. Alban,It's My Life,https://music.youtube.com/watch?v=9nBLktqsdsw
Fire,Dr. Alban,It's My Life,https://music.youtube.com/watch?v=uBF6WpFUB3c
Look Who's Talking (Short Version),Dr. Alban,It's My Life,https://music.youtube.com/watch?v=iM5c0L5nqfs
Intro,Dr. Alban,I Believe,https://music.youtube.com/watch?v=XkM-RfzLEWA
Guess Who's Coming to Dinner (Radio Edit),Dr. Alban,I Believe,https://music.youtube.com/watch?v=yFnvWM3DHbU
Mr DJ (Tokapi Mix),Dr. Alban,I Believe,https://music.youtube.com/watch?v=C80HXNB6Nmc
Soon Come (feat. Freddie McGregor),Dr. Alban,I Believe,https://music.youtube.com/watch?v=KZkWaXh0ZPc
Feel the Rhythm,Dr. Alban,I Believe,https://music.youtube.com/watch?v=t7gP1Dq-Jfs
Enemies,Dr. Alban,I Believe,https://music.youtube.com/watch?v=pjpKbf5XHM8
Long Time Ago,Dr. Alban,I Believe,https://music.youtube.com/watch?v=cE9_2kFsBYs
I Believe,Dr. Alban,I Believe,https://music.youtube.com/watch?v=tTcru33olVw
Oh Baby (feat. Beenie Man),Dr. Alban,I Believe,https://music.youtube.com/watch?v=ubbOzF3qSwc
Show Me,Dr. Alban,I Believe,https://music.youtube.com/watch?v=OXZMJXydOLA
