titulo,artistas,album,url
I Just Want to Celebrate,Rare Earth,"Ontario Motor Speedway, California, April '74",https://music.youtube.com/watch?v=HTbJMO5TX-s
"Hey, Big Brother",Rare Earth,"Ontario Motor Speedway, California, April '74",https://music.youtube.com/watch?v=N-suAW_aXSo
Keep Your Head to the Sky,"Earth, Wind & Fire","Ontario Motor Speedway, California, April '74",https://music.youtube.com/watch?v=HoE2EYu147U
C'mon Children,"Earth, Wind & Fire","Ontario Motor Speedway, California, April '74",https://music.youtube.com/watch?v=j4mDLdBZx74
Time Is on Your Side,"Earth, Wind & Fire","Ontario Motor Speedway, California, April '74",https://music.youtube.com/watch?v=Vx88KD2na1M
James Dean (feat. Jackson Browne),Eagles,"Ontario Motor Speedway, California, April '74",https://music.youtube.com/watch?v=c6vpYhfmu9M
Already Gone (feat. Jackson Browne),Eagles,"Ontario Motor Speedway, California, April '74",https://music.youtube.com/watch?v=PnodRmXmL9A
Take It Easy (feat. Jackson Browne),Eagles,"Ontario Motor Speedway, California, April '74",https://music.youtube.com/watch?v=IIGjgfVS6oU
Blackberry Blossom (feat. Jackson Browne),Eagles,"Ontario Motor Speedway, California, April '74",https://music.youtube.com/watch?v=ugpxdiqktsM
Midnight Flyer (feat. Jackson Browne),Eagles,"Ontario Motor Speedway, California, April '74",https://music.youtube.com/watch?v=12JMmdozrvc
Peaceful Easy Feeling (Live),Eagles,Beneath The Halo Moon (feat. Linda Ronstadt),https://music.youtube.com/watch?v=WI8s-CDpLBU
Already Gone (Live),Eagles,Beneath The Halo Moon (feat. Linda Ronstadt),https://music.youtube.com/watch?v=xTmEpIdkPKk
Good Day In Hell (Live),Eagles,Beneath The Halo Moon (feat. Linda Ronstadt),https://music.youtube.com/watch?v=SYWye5SdCQg
Silver Threads And Golden Needles (Live) (feat. Linda Ronstadt),Eagles,Beneath The Halo Moon (feat. Linda Ronstadt),https://music.youtube.com/watch?v=tFL3NfaZArQ
Desperado (Live) (feat. Linda Ronstadt),Eagles,Beneath The Halo Moon (feat. Linda Ronstadt),https://music.youtube.com/watch?v=31mbbAfBs_w
It Doesn't Matter Anymore (Live) (feat. Linda Ronstadt),Eagles,Beneath The Halo Moon (feat. Linda Ronstadt),https://music.youtube.com/watch?v=ZXauFhjTFi8
Midnight Flyer (Live),Eagles,Beneath The Halo Moon (feat. Linda Ronstadt),https://music.youtube.com/watch?v=e5ihgb_CXAY
Twenty One (Live),Eagles,Beneath The Halo Moon (feat. Linda Ronstadt),https://music.youtube.com/watch?v=Cj93Fhh4vfM
Ol' 55 (Live),Eagles,Beneath The Halo Moon (feat. Linda Ronstadt),https://music.youtube.com/watch?v=HsvQLXDBDCc
Your Bright Baby Blues (Live),Eagles,Beneath The Halo Moon (feat. Linda Ronstadt),https://music.youtube.com/watch?v=lPInGCTEOLI
Looking Into You (Live),Eagles,Beneath The Halo Moon (feat. Linda Ronstadt),https://music.youtube.com/watch?v=numhtQSgHF0
James Dean (Live),Eagles,Beneath The Halo Moon (feat. Linda Ronstadt),https://music.youtube.com/watch?v=qq5mDtpR-kQ
Doolin' Dalton (Live),Eagles,Beneath The Halo Moon (feat. Linda Ronstadt),https://music.youtube.com/watch?v=tSh_uSmg43I
Take It Easy (Live),Eagles,Beneath The Halo Moon (feat. Linda Ronstadt),https://music.youtube.com/watch?v=bFVLEQe8h3U
King Of Hollywood (Live),Eagles,King of Hollywood,https://music.youtube.com/watch?v=i6Ucf0UAgmU
In The City (Live),Eagles,King of Hollywood,https://music.youtube.com/watch?v=RCB59ZvolfU
Hotel California (Live),Eagles,King of Hollywood,https://music.youtube.com/watch?v=j89U-xtula8
Keep On Tryin' (Live),Eagles,King of Hollywood,https://music.youtube.com/watch?v=JzJ1N9calbU
Saturday Night (Live),Eagles,King of Hollywood,https://music.youtube.com/watch?v=8xn7JT0MWqM
I Can't Tell You Why (Live),Eagles,King of Hollywood,https://music.youtube.com/watch?v=jAb2efW2KEM
The Sad Cafe (Live),Eagles,King of Hollywood,https://music.youtube.com/watch?v=kUMmGI9IZCU
Already Gone (Live),Eagles,King of Hollywood,https://music.youtube.com/watch?v=omfZqnUGPVc
Pretty Maids All In A Row (Live),Eagles,King of Hollywood,https://music.youtube.com/watch?v=DeGB548haFA
Funk No. 49 (Live),The Eagles,"The Eagles Live At The Summit, Houston, 1976 vol. 2",https://music.youtube.com/watch?v=Km_47THZyFI
Good Day in Hell (Live),The Eagles,"The Eagles Live At The Summit, Houston, 1976 vol. 2",https://music.youtube.com/watch?v=kM8T4xd_GFE
Rocky Mountain Way (Live),The Eagles,"The Eagles Live At The Summit, Houston, 1976 vol. 2",https://music.youtube.com/watch?v=uRzI0-fHIfQ
Witchy Woman (Live),The Eagles,"The Eagles Live At The Summit, Houston, 1976 vol. 2",https://music.youtube.com/watch?v=RyiVKyV_8oo
James Dean (Live),The Eagles,"The Eagles Live At The Summit, Houston, 1976 vol. 2",https://music.youtube.com/watch?v=ACrerdQ-DQ0
