titulo,artistas,album,url
The Great Pretender (Special Edition),Freddie Mercury,Never Boring,https://music.youtube.com/watch?v=1ZtwSnrkDiI
I Was Born To Love You (Special Edition),Freddie Mercury,Never Boring,https://music.youtube.com/watch?v=tOTI5oj95Kw
Barcelona (2012 Orchestrated Version),"Freddie Mercury, Montserrat Caballé",Never Boring,https://music.youtube.com/watch?v=Y1fiOJDXA-E
Love Kills (Special Edition),Freddie Mercury,Never Boring,https://music.youtube.com/watch?v=YcgBgJCaC-M
How Can I Go On (2012 Orchestrated Version / Single Version),"Freddie Mercury, Montserrat Caballé",Never Boring,https://music.youtube.com/watch?v=ksNoe8W2jTc
Love Me Like There's No Tomorrow (Special Edition),Freddie Mercury,Never Boring,https://music.youtube.com/watch?v=H1Wbu_AF2e4
Living On My Own (No More Brothers Radio Mix),Freddie Mercury,Never Boring,https://music.youtube.com/watch?v=HTdd8QxifbY
The Golden Boy (2012 Orchestrated Version / Single Edit),"Freddie Mercury, Montserrat Caballé",Never Boring,https://music.youtube.com/watch?v=aUEpKzMaZPY
She Blows Hot And Cold (Special Edition),Freddie Mercury,Never Boring,https://music.youtube.com/watch?v=5s-3I4fm2Is
Made In Heaven (Special Edition),Freddie Mercury,Never Boring,https://music.youtube.com/watch?v=vBCTasRgFqo
Barcelona (New Orchestrated Version),"Freddie Mercury, Montserrat Caballé",Barcelona (Special Edition - Deluxe),https://music.youtube.com/watch?v=Y1fiOJDXA-E
La Japonaise (New Orchestrated Version),"Freddie Mercury, Montserrat Caballé",Barcelona (Special Edition - Deluxe),https://music.youtube.com/watch?v=THDBBvjOc4M
The Fallen Priest (New Orchestrated Version),"Freddie Mercury, Montserrat Caballé",Barcelona (Special Edition - Deluxe),https://music.youtube.com/watch?v=0gQW7b5TT_I
Ensueño (New Orchestrated Version),"Freddie Mercury, Montserrat Caballé",Barcelona (Special Edition - Deluxe),https://music.youtube.com/watch?v=lQtwK3P8Cto
The Golden Boy (New Orchestrated Version),"Freddie Mercury, Montserrat Caballé",Barcelona (Special Edition - Deluxe),https://music.youtube.com/watch?v=OPizyP4x30I
Guide Me Home (New Orchestrated Version),"Freddie Mercury, Montserrat Caballé",Barcelona (Special Edition - Deluxe),https://music.youtube.com/watch?v=1VmNHQGtzHE
How Can I Go On (New Orchestrated Version),"Freddie Mercury, Montserrat Caballé",Barcelona (Special Edition - Deluxe),https://music.youtube.com/watch?v=ksNoe8W2jTc
Exercises In Free Love (New Orchestrated Version),"Freddie Mercury, Montserrat Caballé",Barcelona (Special Edition - Deluxe),https://music.youtube.com/watch?v=QI5Hf5MDrbY
Overture Piccante (New Orchestrated Version),"Freddie Mercury, Montserrat Caballé",Barcelona (Special Edition - Deluxe),https://music.youtube.com/watch?v=ZzYkbKcPnuI
How Can I Go On (New Orchestrated Version),Freddie Mercury & Montserrat Caballé,Barcelona (Special Edition - Deluxe),https://music.youtube.com/watch?v=None
Exercises In Free Love (1987 B-Side),"Freddie Mercury, Montserrat Caballé",Barcelona (Special Edition - Deluxe),https://music.youtube.com/watch?v=JAO_XHisG_0
Barcelona (Early Version: Freddie's Demo Vocal),Freddie Mercury,Barcelona (Special Edition - Deluxe),https://music.youtube.com/watch?v=JCmcs5GEjKA
La Japonaise (Early Version: Freddie's Demo Vocal),Freddie Mercury,Barcelona (Special Edition - Deluxe),https://music.youtube.com/watch?v=9kP8tuCISZg
Rachmaninov's Revenge (The Fallen Priest) (Later Version: Freddie's Demo Vocal),Freddie Mercury,Barcelona (Special Edition - Deluxe),https://music.youtube.com/watch?v=QBxlJTaGl8c
Ensueño (Monsterrat's Live Takes),Montserrat Caballé,Barcelona (Special Edition - Deluxe),https://music.youtube.com/watch?v=pmKh8Rt2w2A
The Golden Boy (Early Version: Freddie's Demo Vocal),Freddie Mercury,Barcelona (Special Edition - Deluxe),https://music.youtube.com/watch?v=SaJ0ajUDdTQ
Guide Me Home (Alternative Version),"Freddie Mercury, Montserrat Caballé",Barcelona (Special Edition - Deluxe),https://music.youtube.com/watch?v=FPDutrCVF9A
How Can I Go On (Alternative Version),"Freddie Mercury, Montserrat Caballé",Barcelona (Special Edition - Deluxe),https://music.youtube.com/watch?v=P8BJwHbGRyo
How Can I Go On (Alternative Piano Version),"Freddie Mercury, Montserrat Caballé",Barcelona (Special Edition - Deluxe),https://music.youtube.com/watch?v=lMPknOAvzFY
Barcelona (Orchestral Version),"Freddie Mercury, Montserrat Caballé",Barcelona (Special Edition - Deluxe),https://music.youtube.com/watch?v=3ROX7ww5Exo
La Japonaise (Orchestral Version),"Freddie Mercury, Montserrat Caballé",Barcelona (Special Edition - Deluxe),https://music.youtube.com/watch?v=oVgQrO-7Evk
The Fallen Priest (Orchestral Version),"Freddie Mercury, Montserrat Caballé",Barcelona (Special Edition - Deluxe),https://music.youtube.com/watch?v=9SYwWSRAq6E
Ensueño (Orchestral Version),"Freddie Mercury, Montserrat Caballé",Barcelona (Special Edition - Deluxe),https://music.youtube.com/watch?v=OxvWgbqx03M
The Golden Boy (Orchestral Version),"Freddie Mercury, Montserrat Caballé",Barcelona (Special Edition - Deluxe),https://music.youtube.com/watch?v=W--jm8CB-ls
Guide Me Home (Orchestral Version),"Freddie Mercury, Montserrat Caballé",Barcelona (Special Edition - Deluxe),https://music.youtube.com/watch?v=TYvIWDd5T2g
How Can I Go On (Orchestral Version),"Freddie Mercury, Montserrat Caballé",Barcelona (Special Edition - Deluxe),https://music.youtube.com/watch?v=_uRQkz3YSC4
Exercises In Free Love (Orchestral Version),"Freddie Mercury, Montserrat Caballé",Barcelona (Special Edition - Deluxe),https://music.youtube.com/watch?v=3V_k5jJVYSs
