titulo,artistas,album,url
Respect,Aretha Franklin,Aretha Franklin & Gloria Gaynor: Respect,https://music.youtube.com/watch?v=U0yIf9Tkgu4
Rock Steady,Aretha Franklin,Aretha Franklin & Gloria Gaynor: Respect,https://music.youtube.com/watch?v=7yzXrnZ1TXI
See Saw,Aretha Franklin,Aretha Franklin & Gloria Gaynor: Respect,https://music.youtube.com/watch?v=O6CwIH6Ogxo
Don’t play that Song,Aretha Franklin,Aretha Franklin & Gloria Gaynor: Respect,https://music.youtube.com/watch?v=lvVYZnnQVag
You make Me Feel like a Natural Woman,Aretha Franklin,Aretha Franklin & Gloria Gaynor: Respect,https://music.youtube.com/watch?v=8jCFzreP1ng
Think,Aretha Franklin,Aretha Franklin & Gloria Gaynor: Respect,https://music.youtube.com/watch?v=P9yIoSpWWNE
I Say A Little Prayer,Aretha Franklin,Aretha Franklin & Gloria Gaynor: Respect,https://music.youtube.com/watch?v=dQ6idhIpCck
Ain´t no Way,Aretha Franklin,Aretha Franklin & Gloria Gaynor: Respect,https://music.youtube.com/watch?v=MB1FPOuSVeM
"Baby, I Love You",Aretha Franklin,Aretha Franklin & Gloria Gaynor: Respect,https://music.youtube.com/watch?v=TAfsYY1kM8g
Call Me,Aretha Franklin,Aretha Franklin & Gloria Gaynor: Respect,https://music.youtube.com/watch?v=LE2Qm8GpR6U
Share Your Love With Me,Aretha Franklin,Aretha Franklin & Gloria Gaynor: Respect,https://music.youtube.com/watch?v=Jsi1mMjdLIU
The Weight,Aretha Franklin,Aretha Franklin & Gloria Gaynor: Respect,https://music.youtube.com/watch?v=DHDovAXJcr0
While The Blood Runs Warm,Aretha Franklin,Aretha Franklin & Gloria Gaynor: Respect,https://music.youtube.com/watch?v=kX4j2tc8wuY
Chain Of Fools,Aretha Franklin,Aretha Franklin & Gloria Gaynor: Respect,https://music.youtube.com/watch?v=IiKnsR5swRM
Eleanor Rigby,Aretha Franklin,Aretha Franklin & Gloria Gaynor: Respect,https://music.youtube.com/watch?v=ufXwygqGMbM
I Will Survive,Gloria Gaynor,Aretha Franklin & Gloria Gaynor: Respect,https://music.youtube.com/watch?v=ymsS0GJo1bg
Never Can Say Goodbye,Gloria Gaynor,Aretha Franklin & Gloria Gaynor: Respect,https://music.youtube.com/watch?v=HC4jaKaed1I
The Eye of the Tiger,Gloria Gaynor,Aretha Franklin & Gloria Gaynor: Respect,https://music.youtube.com/watch?v=t0C8ay5n1X8
I am what I am,Gloria Gaynor,Aretha Franklin & Gloria Gaynor: Respect,https://music.youtube.com/watch?v=Yfvu9PKCFoU
Can’t take My Eyes off You,Gloria Gaynor,Aretha Franklin & Gloria Gaynor: Respect,https://music.youtube.com/watch?v=7dkaFHaNxXg
Every Breath You Take,Gloria Gaynor,Aretha Franklin & Gloria Gaynor: Respect,https://music.youtube.com/watch?v=qrfqb2F9A70
Reach Out I'll Be There,Gloria Gaynor,Aretha Franklin & Gloria Gaynor: Respect,https://music.youtube.com/watch?v=3smbbUeRGhs
Suddenly,Gloria Gaynor,Aretha Franklin & Gloria Gaynor: Respect,https://music.youtube.com/watch?v=KTSxh7387g0
Every Time You Go Away,Gloria Gaynor,Aretha Franklin & Gloria Gaynor: Respect,https://music.youtube.com/watch?v=jhRG3UYApY0
The Power of Love,Gloria Gaynor,Aretha Franklin & Gloria Gaynor: Respect,https://music.youtube.com/watch?v=UaF4WMUXcP0
Amazing Grace,Gloria Gaynor,Testimony,https://music.youtube.com/watch?v=61JS0Y74Yzk
Back On Top,Gloria Gaynor,Testimony,https://music.youtube.com/watch?v=REb7GUawQWM
He Won't Let Go (feat. Bart Millard),Gloria Gaynor,Testimony,https://music.youtube.com/watch?v=OXp82wLUY6Y
Joy Comes In The Morning,Gloria Gaynor,Testimony,https://music.youtube.com/watch?v=nJPY8xhOyxE
Only You Can Do,Gloria Gaynor,Testimony,https://music.youtube.com/watch?v=RAWSxj6YPeM
Singin' Over Me (feat. Jason Crabb),Gloria Gaynor,Testimony,https://music.youtube.com/watch?v=cJyIrtELn5s
Talkin' 'Bout Jesus (feat. Yolanda Adams),Gloria Gaynor,Testimony,https://music.youtube.com/watch?v=U4iAF8zzgbk
"Take My Hand, Precious Lord (feat. Jason Crabb, Mike Farris & Bart Millard)",Gloria Gaynor,Testimony,https://music.youtube.com/watch?v=KIKb-46fBqE
Man Of Peace (feat. Mike Farris),Gloria Gaynor,Testimony,https://music.youtube.com/watch?v=E4Wxdz51Hko
Day One,Gloria Gaynor,Testimony,https://music.youtube.com/watch?v=BCV7Oi_7yfs
I Will Survive (Rerecorded Club Mix),葛洛莉亞 蓋諾,最好的收藏,https://music.youtube.com/watch?v=5A2AdLSXfUk
