titulo,artistas,album,url
The Industrial Revolution (Death of the Macho Man),La Bouche,Step Time,https://music.youtube.com/watch?v=s8CbIyCrInE
La Bouche (The Power of the Word),La Bouche,Step Time,https://music.youtube.com/watch?v=LcwmpT9EX84
Chop It Down (A Tyrolean Extravaganza),La Bouche,Step Time,https://music.youtube.com/watch?v=XKTsMg0pR_E
Frightened of the Future (Chicken),La Bouche,Step Time,https://music.youtube.com/watch?v=cZXMWrKyKAs
"In the Garden (Imagine a Garden, a Beautiful Garden, and a False Sense of Security)",La Bouche,Step Time,https://music.youtube.com/watch?v=KiB5admt0pI
The Winter (The Mourning After),La Bouche,Step Time,https://music.youtube.com/watch?v=aeA21Avan8Y
Natural Selection (It’s the Little Things That Matter),La Bouche,Step Time,https://music.youtube.com/watch?v=J81FtX-HSUM
"Um (Oh No, Not again!)",La Bouche,Step Time,https://music.youtube.com/watch?v=sIqsbHb-Qw8
Ownership (Invest in Property This Is a Limited Edition of 5000 and This Is Number 243/5000),La Bouche,Step Time,https://music.youtube.com/watch?v=KhkA5F84ZEY
Romantic Love (Possession v. Attraction),La Bouche,Step Time,https://music.youtube.com/watch?v=HRDzwtPg514
Romantic Love (Bonus Track) [12” Mix],La Bouche,Step Time,https://music.youtube.com/watch?v=Ki5YwVIgZus
John Cage (Bonus Track),La Bouche,Step Time,https://music.youtube.com/watch?v=-qC6Cm3jrcY
You Won't Forget Me (Radio Version),La Bouche,A Moment Of Love,https://music.youtube.com/watch?v=rrdKJ_m_9Ek
Unexpected Lovers,La Bouche,A Moment Of Love,https://music.youtube.com/watch?v=uAmqW9tVWVQ
SOS,La Bouche,A Moment Of Love,https://music.youtube.com/watch?v=U8hBvkRITzE
A Moment Of Love,La Bouche,A Moment Of Love,https://music.youtube.com/watch?v=BBSVGH0YJx0
Whenever You Want,La Bouche,A Moment Of Love,https://music.youtube.com/watch?v=b5CtCewJC9s
I Can't Stand The Rain,La Bouche,A Moment Of Love,https://music.youtube.com/watch?v=k_NKlzW7-Bk
On A Night Like This,La Bouche,A Moment Of Love,https://music.youtube.com/watch?v=OHWheMKceAo
Body & Soul,La Bouche,A Moment Of Love,https://music.youtube.com/watch?v=PYfYnL9Jz4g
Say You'll Be Mine,La Bouche,A Moment Of Love,https://music.youtube.com/watch?v=Ap6fL5DrPEw
Don't Let The Rain,La Bouche,A Moment Of Love,https://music.youtube.com/watch?v=SjiZnPhX_jY
Sweet Little Persuader,La Bouche,A Moment Of Love,https://music.youtube.com/watch?v=awrfGA384Tk
Say It With Love,La Bouche,A Moment Of Love,https://music.youtube.com/watch?v=BOzLlG_CkWE
You Won't Forget Me (House Mix),La Bouche,A Moment Of Love,https://music.youtube.com/watch?v=r4qqBAkyQps
Forget Me Nots,La Bouche,Sweet Dreams,https://music.youtube.com/watch?v=k3PlqWB0g5s
Sweet Dreams (Radio Version),La Bouche,Sweet Dreams,https://music.youtube.com/watch?v=dz9a_KuuD8g
Be My Lover,La Bouche,Sweet Dreams,https://music.youtube.com/watch?v=ViP87WipSm0
Fallin' In Love,La Bouche,Sweet Dreams,https://music.youtube.com/watch?v=Tu3T6q68A2k
I'll Be There,La Bouche,Sweet Dreams,https://music.youtube.com/watch?v=LEpcnW8n03M
Nice 'N' Slow,La Bouche,Sweet Dreams,https://music.youtube.com/watch?v=PhKWAQCbWoY
Where Do You Go,La Bouche,Sweet Dreams,https://music.youtube.com/watch?v=yRNDO9IS-J4
I Love To Love,La Bouche,Sweet Dreams,https://music.youtube.com/watch?v=6bmGSqq5v2M
Do You Still Need Me,La Bouche,Sweet Dreams,https://music.youtube.com/watch?v=ovL-L5mdcBk
Poetry In Motion,La Bouche,Sweet Dreams,https://music.youtube.com/watch?v=tu8ysxH056s
Shoo Bee Do Bee Do (I Like That Way),La Bouche,Sweet Dreams,https://music.youtube.com/watch?v=vVxpJMEz8kM
The Heat Is On,La Bouche,Sweet Dreams,https://music.youtube.com/watch?v=F_joK2ToNgk
Mama Look (I Love Him),La Bouche,Sweet Dreams,https://music.youtube.com/watch?v=eoNOVdIvsC8
Be My Lover (House Mix),La Bouche,Sweet Dreams,https://music.youtube.com/watch?v=u8fUZ2fejfo
Be My Lover (Club Mix),La Bouche,All Mixed Up,https://music.youtube.com/watch?v=ViP87WipSm0
Fallin' In Love (Soul Solution Vocal Dub),La Bouche,All Mixed Up,https://music.youtube.com/watch?v=uVwj31euuGQ
Sweet Dreams (Spike Mix),La Bouche,All Mixed Up,https://music.youtube.com/watch?v=UHDH1BJxAbg
Forget Me Nots (Club Mix),La Bouche,All Mixed Up,https://music.youtube.com/watch?v=4dxiRAbMmP4
Be My Lover (Spike Mix),La Bouche,All Mixed Up,https://music.youtube.com/watch?v=H9bNkpomP7I
Fallin' In Love (Full Harmony Club Mix),La Bouche,All Mixed Up,https://music.youtube.com/watch?v=NkWxI6VFZk4
I love To Love (Club Mix),La Bouche,All Mixed Up,https://music.youtube.com/watch?v=BXRhWzTbLx8
Tonight Is The Night (Le Click - Dance Mix -),La Bouche,All Mixed Up,https://music.youtube.com/watch?v=y7T5SCF-Z_0
Sweet Dreams (Stylin' Free Mix),La Bouche,All Mixed Up,https://music.youtube.com/watch?v=65gJkj9nQCI
Mega Mix,La Bouche,All Mixed Up,https://music.youtube.com/watch?v=jLDGXqlWKgE
Sweet Dreams,La Bouche,Greatest Hits,https://music.youtube.com/watch?v=dz9a_KuuD8g
Be My Lover,La Bouche,Greatest Hits,https://music.youtube.com/watch?v=ViP87WipSm0
