titulo,artistas,album,url
The Lucky One,Laura Branigan,Self Control (Expanded),https://music.youtube.com/watch?v=wNdpN6FAN8I
Self Control,Laura Branigan,Self Control (Expanded),https://music.youtube.com/watch?v=rT02EwjBmAk
Ti Amo,Laura Branigan,Self Control (Expanded),https://music.youtube.com/watch?v=cfwtajAEQE4
Heart,Laura Branigan,Self Control (Expanded),https://music.youtube.com/watch?v=dqISTI079q8
Will You Still Love Me Tomorrow,Laura Branigan,Self Control (Expanded),https://music.youtube.com/watch?v=1QDlIpi0V9Q
Satisfaction,Laura Branigan,Self Control (Expanded),https://music.youtube.com/watch?v=zEpG8HFJJLA
Silent Partners,Laura Branigan,Self Control (Expanded),https://music.youtube.com/watch?v=PDCjHQBzqIc
Breaking Out,Laura Branigan,Self Control (Expanded),https://music.youtube.com/watch?v=lpHfYR1EdTM
Take Me,Laura Branigan,Self Control (Expanded),https://music.youtube.com/watch?v=0Fd3pfZ8hSw
With Every Beat of My Heart,Laura Branigan,Self Control (Expanded),https://music.youtube.com/watch?v=jEO2-edNjpI
Self Control (Extended Version),Laura Branigan,Self Control (Expanded),https://music.youtube.com/watch?v=8foyktslOFY
Self Control (Edit),Laura Branigan,Self Control (Expanded),https://music.youtube.com/watch?v=f8Uwtm30uhc
Self Control (Classic Summer Mix),Laura Branigan,Self Control (Expanded),https://music.youtube.com/watch?v=UXC24B4Wr1Y
Self Control (117 BPM Club Mix 1992),Laura Branigan,Self Control (Expanded),https://music.youtube.com/watch?v=FZI_j6H2nFs
The Lucky One (Single Version),Laura Branigan,Self Control (Expanded),https://music.youtube.com/watch?v=OJc5wcKYXik
The Lucky One (Jack White Mix),Laura Branigan,Self Control (Expanded),https://music.youtube.com/watch?v=-HBAgkzOJcY
The Lucky One (John Robie Mix),Laura Branigan,Self Control (Expanded),https://music.youtube.com/watch?v=f8UuFOGQMu8
Satisfaction (Single Version),Laura Branigan,Self Control (Expanded),https://music.youtube.com/watch?v=DV9-YEjDrpY
Satisfaction (Special Dance Mix),Laura Branigan,Self Control (Expanded),https://music.youtube.com/watch?v=pIkgmModDi4
When (Single Version),Laura Branigan,Self Control (Expanded),https://music.youtube.com/watch?v=mpvolqlbg1I
Hot Night,Laura Branigan,Self Control (Expanded),https://music.youtube.com/watch?v=7m17k3cymSk
How Can I Help You Say Goodbye?,Laura Branigan,Over My Heart,https://music.youtube.com/watch?v=L9MBxMY_ISM
"The Sweet Hello, the Sad Goodbye",Laura Branigan,Over My Heart,https://music.youtube.com/watch?v=QYhJGBq60tI
Over My Heart,Laura Branigan,Over My Heart,https://music.youtube.com/watch?v=Iz8NBFJhkBQ
It's Been Hard Enough Getting over You,Laura Branigan,Over My Heart,https://music.youtube.com/watch?v=pJt5YceRHEo
Is There Anyone Here but Me?,Laura Branigan,Over My Heart,https://music.youtube.com/watch?v=37KByt2zCm0
Love Your Girl,Laura Branigan,Over My Heart,https://music.youtube.com/watch?v=urdgw-DU1TY
