titulo,artistas,album,url
Beautiful Mistakes,"Maroon 5, Megan Thee Stallion",JORDI (Deluxe),https://music.youtube.com/watch?v=BSzSn-PRdtI
Lost,Maroon 5,JORDI (Deluxe),https://music.youtube.com/watch?v=U05fwua9-D4
Echo (feat. blackbear),Maroon 5,JORDI (Deluxe),https://music.youtube.com/watch?v=cOwlU2W3WiM
Lovesick,Maroon 5,JORDI (Deluxe),https://music.youtube.com/watch?v=zAVqPCuYN4k
Remedy (feat. Stevie Nicks),Maroon 5,JORDI (Deluxe),https://music.youtube.com/watch?v=Nfrz2UpI3jk
Seasons,Maroon 5,JORDI (Deluxe),https://music.youtube.com/watch?v=NoXU44cqetE
One Light (feat. Bantu),Maroon 5,JORDI (Deluxe),https://music.youtube.com/watch?v=F98qJgAzQpA
Convince Me Otherwise,"Maroon 5, H.E.R.",JORDI (Deluxe),https://music.youtube.com/watch?v=uzQB8X6jx9M
Nobody's Love,Maroon 5,JORDI (Deluxe),https://music.youtube.com/watch?v=7ghhRHRP6t4
Can't Leave You Alone (feat. Juice WRLD),Maroon 5,JORDI (Deluxe),https://music.youtube.com/watch?v=jWBN39Uwv7g
Memories,Maroon 5,JORDI (Deluxe),https://music.youtube.com/watch?v=SlPhMPnQ58k
Memories Remix (feat. Nipsey Hussle & YG),Maroon 5,JORDI (Deluxe),https://music.youtube.com/watch?v=RZnIz96LK6U
Button (feat. Anuel AA & Tainy),Maroon 5,JORDI (Deluxe),https://music.youtube.com/watch?v=ZyYTak2uoj0
Lifestyle (feat. Adam Levine),Jason Derulo,JORDI (Deluxe),https://music.youtube.com/watch?v=gTOYhxubOmk
Best 4 U,Maroon 5,Red Pill Blues,https://music.youtube.com/watch?v=AS9mspIw2RE
What Lovers Do (feat. SZA),Maroon 5,Red Pill Blues,https://music.youtube.com/watch?v=5Wiio4KoGe8
Wait,Maroon 5,Red Pill Blues,https://music.youtube.com/watch?v=4uTNVumfm84
Lips on You,Maroon 5,Red Pill Blues,https://music.youtube.com/watch?v=1orovF_Gqrk
Bet My Heart,Maroon 5,Red Pill Blues,https://music.youtube.com/watch?v=0DdObOQ3pZE
Help Me Out,"Maroon 5, Julia Michaels",Red Pill Blues,https://music.youtube.com/watch?v=JA2JdSP7wyg
