titulo,artistas,album,url
Serve The Servants (2023 Remaster),Nirvana,In Utero (30th Anniversary Super Deluxe),https://music.youtube.com/watch?v=nsYZiO1FotI
Scentless Apprentice (2023 Remaster),Nirvana,In Utero (30th Anniversary Super Deluxe),https://music.youtube.com/watch?v=upr0CVDw8Co
Heart-Shaped Box (2023 Remaster),Nirvana,In Utero (30th Anniversary Super Deluxe),https://music.youtube.com/watch?v=n6P0SitRwy8
Rape Me (2023 Remaster),Nirvana,In Utero (30th Anniversary Super Deluxe),https://music.youtube.com/watch?v=SuSjiQwrKYo
Frances Farmer Will Have Her Revenge On Seattle (2023 Remaster),Nirvana,In Utero (30th Anniversary Super Deluxe),https://music.youtube.com/watch?v=9UwdINMMo_E
Dumb (2023 Remaster),Nirvana,In Utero (30th Anniversary Super Deluxe),https://music.youtube.com/watch?v=4YFu4dvMHHY
Very Ape (2023 Remaster),Nirvana,In Utero (30th Anniversary Super Deluxe),https://music.youtube.com/watch?v=Ge3r3EF8dGE
Milk It (2023 Remaster),Nirvana,In Utero (30th Anniversary Super Deluxe),https://music.youtube.com/watch?v=YdcordL3ItA
Pennyroyal Tea (2023 Remaster),Nirvana,In Utero (30th Anniversary Super Deluxe),https://music.youtube.com/watch?v=Ly2x_XUw4qU
Radio Friendly Unit Shifter (2023 Remaster),Nirvana,In Utero (30th Anniversary Super Deluxe),https://music.youtube.com/watch?v=x309D4ABLv0
tourette's (2023 Remaster),Nirvana,In Utero (30th Anniversary Super Deluxe),https://music.youtube.com/watch?v=2pvP6xJdDx4
All Apologies (2023 Remaster),Nirvana,In Utero (30th Anniversary Super Deluxe),https://music.youtube.com/watch?v=tLVVhfJqohU
Gallons Of Rubbing Alcohol Flow Through The Strip (2023 Remaster),Nirvana,In Utero (30th Anniversary Super Deluxe),https://music.youtube.com/watch?v=NDzIBaHCyeo
Marigold (2023 Remaster),Nirvana,In Utero (30th Anniversary Super Deluxe),https://music.youtube.com/watch?v=cAsnHDFNADc
Sappy (2023 Remaster),Nirvana,In Utero (30th Anniversary Super Deluxe),https://music.youtube.com/watch?v=RZuhEbwKR-4
Moist Vagina (2023 Remaster),Nirvana,In Utero (30th Anniversary Super Deluxe),https://music.youtube.com/watch?v=xg3iQsaDucQ
I Hate Myself And Want To Die (2023 Remaster),Nirvana,In Utero (30th Anniversary Super Deluxe),https://music.youtube.com/watch?v=erK50pmw05c
"Radio Friendly Unit Shifter (Live In Los Angeles, Great Western Forum - December 30, 1993)",Nirvana,In Utero (30th Anniversary Super Deluxe),https://music.youtube.com/watch?v=6V0gLHhNe5I
"Drain You (Live In Los Angeles, Great Western Forum - December 30, 1993)",Nirvana,In Utero (30th Anniversary Super Deluxe),https://music.youtube.com/watch?v=5io9aQegU9I
"Breed (Live In Los Angeles, Great Western Forum - December 30, 1993)",Nirvana,In Utero (30th Anniversary Super Deluxe),https://music.youtube.com/watch?v=KjU8FzGZV0w
"Serve The Servants (Live In Los Angeles, Great Western Forum - December 30, 1993)",Nirvana,In Utero (30th Anniversary Super Deluxe),https://music.youtube.com/watch?v=rkwv7DyanOY
"Come As You Are (Live In Los Angeles, Great Western Forum - December 30, 1993)",Nirvana,In Utero (30th Anniversary Super Deluxe),https://music.youtube.com/watch?v=VpTYVyeM73s
"Smells Like Teen Spirit (Live In Los Angeles, Great Western Forum - December 30, 1993)",Nirvana,In Utero (30th Anniversary Super Deluxe),https://music.youtube.com/watch?v=SKrowufjHtQ
"Sliver (Live In Los Angeles, Great Western Forum - December 30, 1993)",Nirvana,In Utero (30th Anniversary Super Deluxe),https://music.youtube.com/watch?v=GDzXk4-VDhw
"Dumb (Live In Los Angeles, Great Western Forum - December 30, 1993)",Nirvana,In Utero (30th Anniversary Super Deluxe),https://music.youtube.com/watch?v=qGU7RAXaS1M
"In Bloom (Live In Los Angeles, Great Western Forum - December 30, 1993)",Nirvana,In Utero (30th Anniversary Super Deluxe),https://music.youtube.com/watch?v=kfTuBAP-yF4
"About A Girl (Live In Los Angeles, Great Western Forum - December 30, 1993)",Nirvana,In Utero (30th Anniversary Super Deluxe),https://music.youtube.com/watch?v=1fPzprReqxk
"Lithium (Live In Los Angeles, Great Western Forum - December 30, 1993)",Nirvana,In Utero (30th Anniversary Super Deluxe),https://music.youtube.com/watch?v=NOGcm0LnBTw
"Pennyroyal Tea (Live In Los Angeles, Great Western Forum - December 30, 1993)",Nirvana,In Utero (30th Anniversary Super Deluxe),https://music.youtube.com/watch?v=EbSq05CBh2g
"School (Live In Los Angeles, Great Western Forum - December 30, 1993)",Nirvana,In Utero (30th Anniversary Super Deluxe),https://music.youtube.com/watch?v=uoeTuP09B-w
"Polly (Live In Los Angeles, Great Western Forum - December 30, 1993)",Nirvana,In Utero (30th Anniversary Super Deluxe),https://music.youtube.com/watch?v=N-rczvRoUdw
"Frances Farmer Will Have Her Revenge On Seattle (Live In Los Angeles, Great Western Forum - December 30, 1993)",Nirvana,In Utero (30th Anniversary Super Deluxe),https://music.youtube.com/watch?v=V6k1L32YVL4
"Rape Me (Live In Los Angeles, Great Western Forum - December 30, 1993)",Nirvana,In Utero (30th Anniversary Super Deluxe),https://music.youtube.com/watch?v=g-k8fSa8egU
"Territorial Pissings (Live In Los Angeles, Great Western Forum - December 30, 1993)",Nirvana,In Utero (30th Anniversary Super Deluxe),https://music.youtube.com/watch?v=sGhnSgX3yQk
"Jesus Doesn't Want Me For A Sunbeam (Live In Los Angeles, Great Western Forum - December 30, 1993)",Nirvana,In Utero (30th Anniversary Super Deluxe),https://music.youtube.com/watch?v=6mTXkC9J-b4
"The Man Who Sold The World (Live In Los Angeles, Great Western Forum - December 30, 1993)",Nirvana,In Utero (30th Anniversary Super Deluxe),https://music.youtube.com/watch?v=oMFO8EYVeiA
"All Apologies (Live In Los Angeles, Great Western Forum - December 30, 1993)",Nirvana,In Utero (30th Anniversary Super Deluxe),https://music.youtube.com/watch?v=Eyw8zzQfHQM
"On A Plain (Live In Los Angeles, Great Western Forum - December 30, 1993)",Nirvana,In Utero (30th Anniversary Super Deluxe),https://music.youtube.com/watch?v=J7ZwWsEpPlo
