titulo,artistas,album,url
Everything In Its Right Place,Radiohead,KID A MNESIA,https://music.youtube.com/watch?v=d9zk2j3JPK4
Kid A,Radiohead,KID A MNESIA,https://music.youtube.com/watch?v=TOfU3wVpwZQ
The National Anthem,Radiohead,KID A MNESIA,https://music.youtube.com/watch?v=kr-44Vmjc4I
How to Disappear Completely,Radiohead,KID A MNESIA,https://music.youtube.com/watch?v=HY_UbJ3rEfY
Treefingers,Radiohead,KID A MNESIA,https://music.youtube.com/watch?v=gA0J1V1_pXM
Optimistic,Radiohead,KID A MNESIA,https://music.youtube.com/watch?v=hv_RZsGDbpM
In Limbo,Radiohead,KID A MNESIA,https://music.youtube.com/watch?v=wCM_udPMVYQ
Idioteque,Radiohead,KID A MNESIA,https://music.youtube.com/watch?v=LyVB_52G4pg
Morning Bell,Radiohead,KID A MNESIA,https://music.youtube.com/watch?v=1pTnps5RQeE
Motion Picture Soundtrack,Radiohead,KID A MNESIA,https://music.youtube.com/watch?v=Gy9sQ_7bMk8
Untitled,Radiohead,KID A MNESIA,https://music.youtube.com/watch?v=2Hjrxn8qeig
Packt Like Sardines In a Crushd Tin Box,Radiohead,KID A MNESIA,https://music.youtube.com/watch?v=JFMq6lCJdHA
Pyramid Song,Radiohead,KID A MNESIA,https://music.youtube.com/watch?v=3M_Gg1xAHE4
Pulk/Pull Revolving Doors,Radiohead,KID A MNESIA,https://music.youtube.com/watch?v=Ps6txeTlzkg
You And Whose Army?,Radiohead,KID A MNESIA,https://music.youtube.com/watch?v=zYCLm0Oonk8
I Might Be Wrong,Radiohead,KID A MNESIA,https://music.youtube.com/watch?v=vOa--Dhu11M
Knives Out,Radiohead,KID A MNESIA,https://music.youtube.com/watch?v=2Lpw3yMCWro
Morning Bell/Amnesiac,Radiohead,KID A MNESIA,https://music.youtube.com/watch?v=DWoL_N4zXUI
Dollars and Cents,Radiohead,KID A MNESIA,https://music.youtube.com/watch?v=NGL_j8T1YVE
Hunting Bears,Radiohead,KID A MNESIA,https://music.youtube.com/watch?v=ZtdW3HTUQqo
Like Spinning Plates,Radiohead,KID A MNESIA,https://music.youtube.com/watch?v=ih2Ftq3hJoI
Life In a Glasshouse,Radiohead,KID A MNESIA,https://music.youtube.com/watch?v=vfDvGbBCq7s
Like Spinning Plates ('Why Us?' Version),Radiohead,KID A MNESIA,https://music.youtube.com/watch?v=QhHMJkeF8zo
Untitled v1,Radiohead,KID A MNESIA,https://music.youtube.com/watch?v=ZTvniQgAQ0o
Fog (Again Again Version),Radiohead,KID A MNESIA,https://music.youtube.com/watch?v=9vPi8mWg-_8
If You Say the Word,Radiohead,KID A MNESIA,https://music.youtube.com/watch?v=vnhKaCjCIqM
Follow Me Around,Radiohead,KID A MNESIA,https://music.youtube.com/watch?v=nrxWiU_v9Qs
Pulk/Pull (True Love Waits Version),Radiohead,KID A MNESIA,https://music.youtube.com/watch?v=cDQ7raytW0M
Untitled v2,Radiohead,KID A MNESIA,https://music.youtube.com/watch?v=1WzCN1syZfc
The Morning Bell (In the Dark Version),Radiohead,KID A MNESIA,https://music.youtube.com/watch?v=tvHSh21qeDE
Pyramid Strings,Radiohead,KID A MNESIA,https://music.youtube.com/watch?v=-7avE0GKZrA
Alt. Fast Track,Radiohead,KID A MNESIA,https://music.youtube.com/watch?v=dJV-1zkaTq8
Untitled v3,Radiohead,KID A MNESIA,https://music.youtube.com/watch?v=iXvLp5tvqTE
How to Disappear into Strings,Radiohead,KID A MNESIA,https://music.youtube.com/watch?v=1ACmCuuIaMQ
Burn the Witch,Radiohead,A Moon Shaped Pool,https://music.youtube.com/watch?v=yI2oS2hoL0k
Daydreaming,Radiohead,A Moon Shaped Pool,https://music.youtube.com/watch?v=TTAU7lLDZYU
Decks Dark,Radiohead,A Moon Shaped Pool,https://music.youtube.com/watch?v=Del3C2W63Pk
Desert Island Disk,Radiohead,A Moon Shaped Pool,https://music.youtube.com/watch?v=RfmE73FCOFg
Ful Stop,Radiohead,A Moon Shaped Pool,https://music.youtube.com/watch?v=NHDOk7lA53w
Glass Eyes,Radiohead,A Moon Shaped Pool,https://music.youtube.com/watch?v=fzK5kbNL2Ak
Identikit,Radiohead,A Moon Shaped Pool,https://music.youtube.com/watch?v=QZfK4zOQQ3E
The Numbers,Radiohead,A Moon Shaped Pool,https://music.youtube.com/watch?v=zmo-11Bc0XM
Present Tense,Radiohead,A Moon Shaped Pool,https://music.youtube.com/watch?v=kPAZV8y4B44
Tinker Tailor Soldier Sailor Rich Man Poor Man Beggar Man Thief,Radiohead,A Moon Shaped Pool,https://music.youtube.com/watch?v=hetqKun4XFg
True Love Waits,Radiohead,A Moon Shaped Pool,https://music.youtube.com/watch?v=WSnc_6Z7HqQ
Bloom,Radiohead,The King Of Limbs,https://music.youtube.com/watch?v=IxBQ8Er8DYc
Morning Mr Magpie,Radiohead,The King Of Limbs,https://music.youtube.com/watch?v=gM9GSuWpM94
Little By Little,Radiohead,The King Of Limbs,https://music.youtube.com/watch?v=5c1lulf5Fkw
Feral,Radiohead,The King Of Limbs,https://music.youtube.com/watch?v=pxXSlEj_1hk
Lotus Flower,Radiohead,The King Of Limbs,https://music.youtube.com/watch?v=cfOa1a8hYP8
Codex,Radiohead,The King Of Limbs,https://music.youtube.com/watch?v=T7t38uDUg5E
Give Up The Ghost,Radiohead,The King Of Limbs,https://music.youtube.com/watch?v=QGGb7o7EbFs
Separator,Radiohead,The King Of Limbs,https://music.youtube.com/watch?v=KmpzIU301VU
MK 1,Radiohead,In Rainbows (Disk 2),https://music.youtube.com/watch?v=Otr8Wp8Ip98
Down Is The New Up,Radiohead,In Rainbows (Disk 2),https://music.youtube.com/watch?v=KTYIDMXTRL4
Go Slowly,Radiohead,In Rainbows (Disk 2),https://music.youtube.com/watch?v=wqh9GKAtZzo
MK 2,Radiohead,In Rainbows (Disk 2),https://music.youtube.com/watch?v=UFTH26zMbCQ
Last Flowers,Radiohead,In Rainbows (Disk 2),https://music.youtube.com/watch?v=lVata6Ibe4U
Up On The Ladder,Radiohead,In Rainbows (Disk 2),https://music.youtube.com/watch?v=giSKoJpRiFQ
Bangers + Mash,Radiohead,In Rainbows (Disk 2),https://music.youtube.com/watch?v=wozwbfY2p1Q
4 Minute Warning,Radiohead,In Rainbows (Disk 2),https://music.youtube.com/watch?v=xruauLm9u3k
15 Step,Radiohead,In Rainbows,https://music.youtube.com/watch?v=xpqk9MD6vLM
Bodysnatchers,Radiohead,In Rainbows,https://music.youtube.com/watch?v=nIQxhSvSRnQ
Nude,Radiohead,In Rainbows,https://music.youtube.com/watch?v=BbWBRnDK_AE
Weird Fishes / Arpeggi,Radiohead,In Rainbows,https://music.youtube.com/watch?v=TNRCvG9YtYI
All I Need,Radiohead,In Rainbows,https://music.youtube.com/watch?v=DV1hQSt2hSE
Faust Arp,Radiohead,In Rainbows,https://music.youtube.com/watch?v=PRc0iMRoIoc
Reckoner,Radiohead,In Rainbows,https://music.youtube.com/watch?v=_uofQD-N6UI
House Of Cards,Radiohead,In Rainbows,https://music.youtube.com/watch?v=8nTFjVm9sTQ
Jigsaw Falling Into Place,Radiohead,In Rainbows,https://music.youtube.com/watch?v=GoLJJRIWCLU
Videotape,Radiohead,In Rainbows,https://music.youtube.com/watch?v=WF83_PR2EsA
2 + 2 = 5,Radiohead,Hail To the Thief,https://music.youtube.com/watch?v=2w6kHS_IRrE
Sit Down. Stand Up,Radiohead,Hail To the Thief,https://music.youtube.com/watch?v=CVf_HGoY-1E
Sail To The Moon,Radiohead,Hail To the Thief,https://music.youtube.com/watch?v=INvrv9ppxvQ
Backdrifts,Radiohead,Hail To the Thief,https://music.youtube.com/watch?v=BTjQsshhPtM
Go To Sleep,Radiohead,Hail To the Thief,https://music.youtube.com/watch?v=Fe6X9fLLp0Y
Where I End and You Begin,Radiohead,Hail To the Thief,https://music.youtube.com/watch?v=pyTY6Z-Fqzw
We Suck Young Blood,Radiohead,Hail To the Thief,https://music.youtube.com/watch?v=MkSRfituw3c
The Gloaming,Radiohead,Hail To the Thief,https://music.youtube.com/watch?v=Qh_iXvllR6E
"There, There",Radiohead,Hail To the Thief,https://music.youtube.com/watch?v=7AQSLozK7aA
