titulo,artistas,album,url
Lullaby of Broadway,Rod Stewart,Swing Fever,https://music.youtube.com/watch?v=bhty9pYAH9E
Oh Marie,Rod Stewart,Swing Fever,https://music.youtube.com/watch?v=18DUpy8P-i4
Sentimental Journey,Rod Stewart,Swing Fever,https://music.youtube.com/watch?v=f6_xnsVVnHE
Pennies from Heaven,Rod Stewart,Swing Fever,https://music.youtube.com/watch?v=Vz8O32uoFks
Night Train,Rod Stewart,Swing Fever,https://music.youtube.com/watch?v=zrzJq_PeqX8
Love is the Sweetest Thing,Rod Stewart,Swing Fever,https://music.youtube.com/watch?v=FLnmSJcc3UI
Them There Eyes,Rod Stewart,Swing Fever,https://music.youtube.com/watch?v=Ks__4x7zilI
Good Rockin' Tonight,Rod Stewart,Swing Fever,https://music.youtube.com/watch?v=PecW9yELESc
Ain't Misbehavin',Rod Stewart,Swing Fever,https://music.youtube.com/watch?v=_01OaMNWl_Q
Frankie and Johnny,Rod Stewart,Swing Fever,https://music.youtube.com/watch?v=XOh8OlDtrV0
Walkin' My Baby Back Home,Rod Stewart,Swing Fever,https://music.youtube.com/watch?v=XgvEMGBAqow
Almost Like Being in Love,Rod Stewart,Swing Fever,https://music.youtube.com/watch?v=dEe1CZvvTuA
Tennessee Waltz,Rod Stewart,Swing Fever,https://music.youtube.com/watch?v=MxBBF4fpL5Y
One More Time,Rod Stewart,The Tears Of Hercules,https://music.youtube.com/watch?v=pLIu3ahDiy8
Gabriella,Rod Stewart,The Tears Of Hercules,https://music.youtube.com/watch?v=tzG8faWWvQM
All My Days,Rod Stewart,The Tears Of Hercules,https://music.youtube.com/watch?v=EMo7UQgRnxQ
Some Kind of Wonderful,Rod Stewart,The Tears Of Hercules,https://music.youtube.com/watch?v=voxyMbVC2hI
Born to Boogie (A Tribute To Marc Bolan),Rod Stewart,The Tears Of Hercules,https://music.youtube.com/watch?v=LeoTx13pmzs
Kookooaramabama,Rod Stewart,The Tears Of Hercules,https://music.youtube.com/watch?v=23C3bkLS6n4
I Can't Imagine,Rod Stewart,The Tears Of Hercules,https://music.youtube.com/watch?v=VyhWxp8dDl0
The Tears of Hercules,Rod Stewart,The Tears Of Hercules,https://music.youtube.com/watch?v=qXG8cLFAVZs
Hold On,Rod Stewart,The Tears Of Hercules,https://music.youtube.com/watch?v=FpIYt94zsVQ
Precious Memories,Rod Stewart,The Tears Of Hercules,https://music.youtube.com/watch?v=g1TJIbfxq-Y
These Are My People,Rod Stewart,The Tears Of Hercules,https://music.youtube.com/watch?v=b_FAuH5qo_Q
Touchline,Rod Stewart,The Tears Of Hercules,https://music.youtube.com/watch?v=D620voMJOrQ
Street Fighting Man,Rod Stewart,An Old Raincoat Won't Ever Let You Down,https://music.youtube.com/watch?v=gDF8dj7-n1c
Man Of Constant Sorrow,Rod Stewart,An Old Raincoat Won't Ever Let You Down,https://music.youtube.com/watch?v=KtAEub9o1B0
Blind Prayer,Rod Stewart,An Old Raincoat Won't Ever Let You Down,https://music.youtube.com/watch?v=vphMrLODJro
Handbags & Gladrags,Rod Stewart,An Old Raincoat Won't Ever Let You Down,https://music.youtube.com/watch?v=3iBaSiVxC8Q
An Old Raincoat Won't Ever Let You Down,Rod Stewart,An Old Raincoat Won't Ever Let You Down,https://music.youtube.com/watch?v=tJ0bFQixHdE
I Wouldn't Ever Change A Thing,Rod Stewart,An Old Raincoat Won't Ever Let You Down,https://music.youtube.com/watch?v=V9VGHOyuDoA
Cindy's Lament,Rod Stewart,An Old Raincoat Won't Ever Let You Down,https://music.youtube.com/watch?v=RmcpG7sLbek
Dirty Old Town,Rod Stewart,An Old Raincoat Won't Ever Let You Down,https://music.youtube.com/watch?v=HmvuRjxqJ2I
Maggie May (with The Royal Philharmonic Orchestra) (feat. The Royal Philharmonic Orchestra),Rod Stewart,You're In My Heart: Rod Stewart (with The Royal Philharmonic Orchestra) (feat. The Royal Philharmonic Orchestra),https://music.youtube.com/watch?v=l4kqsI-_73Q
Reason to Believe (with The Royal Philharmonic Orchestra) (feat. The Royal Philharmonic Orchestra),Rod Stewart,You're In My Heart: Rod Stewart (with The Royal Philharmonic Orchestra) (feat. The Royal Philharmonic Orchestra),https://music.youtube.com/watch?v=5yw4bL_PslA
Handbags and Gladrags (with The Royal Philharmonic Orchestra) (feat. The Royal Philharmonic Orchestra),Rod Stewart,You're In My Heart: Rod Stewart (with The Royal Philharmonic Orchestra) (feat. The Royal Philharmonic Orchestra),https://music.youtube.com/watch?v=jHFt4b9FQ4A
Sailing (with The Royal Philharmonic Orchestra) (feat. The Royal Philharmonic Orchestra),Rod Stewart,You're In My Heart: Rod Stewart (with The Royal Philharmonic Orchestra) (feat. The Royal Philharmonic Orchestra),https://music.youtube.com/watch?v=weqgFrL5Zsk
Tonight's the Night (Gonna Be Alright) [with The Royal Philharmonic Orchestra] (feat. The Royal Philharmonic Orchestra),Rod Stewart,You're In My Heart: Rod Stewart (with The Royal Philharmonic Orchestra) (feat. The Royal Philharmonic Orchestra),https://music.youtube.com/watch?v=C80hLnH9h8M
"The Killing of Georgie, Pts. I & II (with The Royal Philharmonic Orchestra) (feat. The Royal Philharmonic Orchestra)",Rod Stewart,You're In My Heart: Rod Stewart (with The Royal Philharmonic Orchestra) (feat. The Royal Philharmonic Orchestra),https://music.youtube.com/watch?v=pY4KWFlj62k
I Don't Want to Talk About It (with The Royal Philharmonic Orchestra) (feat. The Royal Philharmonic Orchestra),Rod Stewart,You're In My Heart: Rod Stewart (with The Royal Philharmonic Orchestra) (feat. The Royal Philharmonic Orchestra),https://music.youtube.com/watch?v=YlP1v8s688Q
The First Cut Is the Deepest (with The Royal Philharmonic Orchestra) (feat. The Royal Philharmonic Orchestra),Rod Stewart,You're In My Heart: Rod Stewart (with The Royal Philharmonic Orchestra) (feat. The Royal Philharmonic Orchestra),https://music.youtube.com/watch?v=XvQMAesDp4w
You're in My Heart (The Final Acclaim) [with The Royal Philharmonic Orchestra] (feat. The Royal Philharmonic Orchestra),Rod Stewart,You're In My Heart: Rod Stewart (with The Royal Philharmonic Orchestra) (feat. The Royal Philharmonic Orchestra),https://music.youtube.com/watch?v=nLNbh0RjBnk
I Was Only Joking (with The Royal Philharmonic Orchestra) (feat. The Royal Philharmonic Orchestra),Rod Stewart,You're In My Heart: Rod Stewart (with The Royal Philharmonic Orchestra) (feat. The Royal Philharmonic Orchestra),https://music.youtube.com/watch?v=XK4o8r4lH88
It Takes Two (with Robbie Williams) (feat. Robbie Williams),Rod Stewart,You're In My Heart: Rod Stewart (with The Royal Philharmonic Orchestra) (feat. The Royal Philharmonic Orchestra),https://music.youtube.com/watch?v=ozNY-fHdA_M
Stay With Me (with The Royal Philharmonic Orchestra) (feat. The Royal Philharmonic Orchestra),"Rod Stewart, Faces",You're In My Heart: Rod Stewart (with The Royal Philharmonic Orchestra) (feat. The Royal Philharmonic Orchestra),https://music.youtube.com/watch?v=A44G34XQcKM
Young Turks (with The Royal Philharmonic Orchestra) (feat. The Royal Philharmonic Orchestra),Rod Stewart,You're In My Heart: Rod Stewart (with The Royal Philharmonic Orchestra) (feat. The Royal Philharmonic Orchestra),https://music.youtube.com/watch?v=zQ41hqlV0Kk
What Am I Gonna Do (I'm So In Love With You) [with The Royal Philharmonic Orchestra] (feat. The Royal Philharmonic Orchestra),Rod Stewart,You're In My Heart: Rod Stewart (with The Royal Philharmonic Orchestra) (feat. The Royal Philharmonic Orchestra),https://music.youtube.com/watch?v=IIfpgcDzBAU
Every Beat of My Heart (with The Royal Philharmonic Orchestra) (feat. The Royal Philharmonic Orchestra),Rod Stewart,You're In My Heart: Rod Stewart (with The Royal Philharmonic Orchestra) (feat. The Royal Philharmonic Orchestra),https://music.youtube.com/watch?v=11aax8RC2yE
Forever Young (with The Royal Philharmonic Orchestra) (feat. The Royal Philharmonic Orchestra),Rod Stewart,You're In My Heart: Rod Stewart (with The Royal Philharmonic Orchestra) (feat. The Royal Philharmonic Orchestra),https://music.youtube.com/watch?v=RsSc4XV46KQ
Downtown Train (with The Royal Philharmonic Orchestra) (feat. The Royal Philharmonic Orchestra),Rod Stewart,You're In My Heart: Rod Stewart (with The Royal Philharmonic Orchestra) (feat. The Royal Philharmonic Orchestra),https://music.youtube.com/watch?v=xLNVARIw_s8
Rhythm of My Heart (with The Royal Philharmonic Orchestra) (feat. The Royal Philharmonic Orchestra),Rod Stewart,You're In My Heart: Rod Stewart (with The Royal Philharmonic Orchestra) (feat. The Royal Philharmonic Orchestra),https://music.youtube.com/watch?v=g4VWuvw7D1g
Have I Told You Lately (with The Royal Philharmonic Orchestra) (feat. The Royal Philharmonic Orchestra),Rod Stewart,You're In My Heart: Rod Stewart (with The Royal Philharmonic Orchestra) (feat. The Royal Philharmonic Orchestra),https://music.youtube.com/watch?v=cWOSi1oiONM
Tom Traubert's Blues (Waltzing Matilda) [with The Royal Philharmonic Orchestra] (feat. The Royal Philharmonic Orchestra),Rod Stewart,You're In My Heart: Rod Stewart (with The Royal Philharmonic Orchestra) (feat. The Royal Philharmonic Orchestra),https://music.youtube.com/watch?v=5FGDYUiwpPM
If We Fall In Love Tonight (with The Royal Philharmonic Orchestra) (feat. The Royal Philharmonic Orchestra),Rod Stewart,You're In My Heart: Rod Stewart (with The Royal Philharmonic Orchestra) (feat. The Royal Philharmonic Orchestra),https://music.youtube.com/watch?v=j-wa0BIwNYA
Stop Loving Her Today,Rod Stewart,You're In My Heart: Rod Stewart (with The Royal Philharmonic Orchestra) (feat. The Royal Philharmonic Orchestra),https://music.youtube.com/watch?v=xEm28KmT-P4
Look In Her Eyes,Rod Stewart,Blood Red Roses,https://music.youtube.com/watch?v=NXGtRiQkw7s
Hole In My Heart,Rod Stewart,Blood Red Roses,https://music.youtube.com/watch?v=zxW9-RE1TmQ
Farewell,Rod Stewart,Blood Red Roses,https://music.youtube.com/watch?v=Knjec8z0o30
Didn't I (feat. Bridget Cady),Rod Stewart,Blood Red Roses,https://music.youtube.com/watch?v=iTA8KFFhHpA
Blood Red Roses,Rod Stewart,Blood Red Roses,https://music.youtube.com/watch?v=u6te4Zsvkcs
Grace,Rod Stewart,Blood Red Roses,https://music.youtube.com/watch?v=IxIrmWfKJuQ
Give Me Love,Rod Stewart,Blood Red Roses,https://music.youtube.com/watch?v=B36OOHlUEqo
Rest Of My Life,Rod Stewart,Blood Red Roses,https://music.youtube.com/watch?v=aNkFK8cSPe0
Rollin' & Tumblin',Rod Stewart,Blood Red Roses,https://music.youtube.com/watch?v=C-3yHM96QDo
Julia,Rod Stewart,Blood Red Roses,https://music.youtube.com/watch?v=WmjJib3zPgE
Honey Gold,Rod Stewart,Blood Red Roses,https://music.youtube.com/watch?v=fCtriqnO1RA
Vegas Shuffle,Rod Stewart,Blood Red Roses,https://music.youtube.com/watch?v=XFVtijwXG08
Cold Old London (feat. Bridget Cady),Rod Stewart,Blood Red Roses,https://music.youtube.com/watch?v=6rROIA51VPQ
Moondance,Van Morrison,Acoustic Van Morrison & Rod Steward,https://music.youtube.com/watch?v=MWi-GmiA__o
Have I told You Lately,Van Morrison,Acoustic Van Morrison & Rod Steward,https://music.youtube.com/watch?v=_Jas72rV3dU
Crazy Love,Van Morrison,Acoustic Van Morrison & Rod Steward,https://music.youtube.com/watch?v=q26XF13ZRLs
Caravan,Van Morrison,Acoustic Van Morrison & Rod Steward,https://music.youtube.com/watch?v=TYzu4ENE_E8
Brown Eyed Girl,Van Morrison,Acoustic Van Morrison & Rod Steward,https://music.youtube.com/watch?v=dq6aPNULp44
Downtown Train,Rod Stewart,Acoustic Van Morrison & Rod Steward,https://music.youtube.com/watch?v=Bgz65udMOHA
Handbags and Gladrags,Rod Stewart,Acoustic Van Morrison & Rod Steward,https://music.youtube.com/watch?v=tleIySQ0zkA
Maggie May,Rod Stewart,Acoustic Van Morrison & Rod Steward,https://music.youtube.com/watch?v=oNIml8PN3fI
Reason To Believe,Rod Stewart,Acoustic Van Morrison & Rod Steward,https://music.youtube.com/watch?v=JhWvA1ylcl8
You Wear It Well,Rod Stewart,Acoustic Van Morrison & Rod Steward,https://music.youtube.com/watch?v=5F_cKPrP2w8
Love Is,Rod Stewart,Another Country,https://music.youtube.com/watch?v=L1uMA120Mhk
Please,Rod Stewart,Another Country,https://music.youtube.com/watch?v=y8AaYlWcy6I
Walking In The Sunshine,Rod Stewart,Another Country,https://music.youtube.com/watch?v=me6bIXQioQY
Love And Be Loved,Rod Stewart,Another Country,https://music.youtube.com/watch?v=tv9NeDw33mQ
We Can Win,Rod Stewart,Another Country,https://music.youtube.com/watch?v=Wq6j8XUcuU8
Another Country,Rod Stewart,Another Country,https://music.youtube.com/watch?v=JReryRBkxME
Way Back Home,Rod Stewart,Another Country,https://music.youtube.com/watch?v=7SAZXpRzwbA
Can We Stay Home Tonight?,Rod Stewart,Another Country,https://music.youtube.com/watch?v=YLMnyFShzw8
Batman Superman Spiderman,Rod Stewart,Another Country,https://music.youtube.com/watch?v=YV9nyjZiyd4
