titulo,artistas,album,url
Harleys & Indians (Riders in the Sky),Roxette,Crash! Boom! Bang! 30th Anniversary Edition,https://music.youtube.com/watch?v=ewtx6S1nAZ4
Crash! Boom! Bang!,Roxette,Crash! Boom! Bang! 30th Anniversary Edition,https://music.youtube.com/watch?v=aoXrd3_3fYI
Fireworks,Roxette,Crash! Boom! Bang! 30th Anniversary Edition,https://music.youtube.com/watch?v=EvpYdXjE0Rc
Run To You,Roxette,Crash! Boom! Bang! 30th Anniversary Edition,https://music.youtube.com/watch?v=lPMQYrRcz_8
Sleeping In My Car,Roxette,Crash! Boom! Bang! 30th Anniversary Edition,https://music.youtube.com/watch?v=S5fn1DfqPfA
Vulnerable,Roxette,Crash! Boom! Bang! 30th Anniversary Edition,https://music.youtube.com/watch?v=PFpZzWdu6XM
The First Girl On The Moon,Roxette,Crash! Boom! Bang! 30th Anniversary Edition,https://music.youtube.com/watch?v=s25ATdAfw-A
Place Your Love,Roxette,Crash! Boom! Bang! 30th Anniversary Edition,https://music.youtube.com/watch?v=r3R8SWvzEzw
I Love The Sound Of Crashing Guitars,Roxette,Crash! Boom! Bang! 30th Anniversary Edition,https://music.youtube.com/watch?v=gsV2TCzvtXs
What's She Like?,Roxette,Crash! Boom! Bang! 30th Anniversary Edition,https://music.youtube.com/watch?v=ccryMWAO2TE
Do You Wanna Go The Whole Way?,Roxette,Crash! Boom! Bang! 30th Anniversary Edition,https://music.youtube.com/watch?v=EN-Rrn5Ib7Y
Lies,Roxette,Crash! Boom! Bang! 30th Anniversary Edition,https://music.youtube.com/watch?v=qcWO-JmMtH4
I'm Sorry,Roxette,Crash! Boom! Bang! 30th Anniversary Edition,https://music.youtube.com/watch?v=ARmuYGxEb0k
Love Is All (Shine Your Light On Me),Roxette,Crash! Boom! Bang! 30th Anniversary Edition,https://music.youtube.com/watch?v=Vo2MevAFimc
Go To Sleep,Roxette,Crash! Boom! Bang! 30th Anniversary Edition,https://music.youtube.com/watch?v=ZtU5jA77Y2k
Almost Unreal,Roxette,Crash! Boom! Bang! 30th Anniversary Edition,https://music.youtube.com/watch?v=El7GVPUl-r0
Crazy About You,Roxette,Crash! Boom! Bang! 30th Anniversary Edition,https://music.youtube.com/watch?v=9hd9ZIPTjs0
See Me,Roxette,Crash! Boom! Bang! 30th Anniversary Edition,https://music.youtube.com/watch?v=ZnDLVXTVzts
Love Is All (Shine Your Light On Me) [Edit 2024],Roxette,Crash! Boom! Bang! 30th Anniversary Edition,https://music.youtube.com/watch?v=hT1B9mt2fKg
Crazy About You (Crash! Boom! Bang! Version),Roxette,Crash! Boom! Bang! 30th Anniversary Edition,https://music.youtube.com/watch?v=uocXh4xpkH0
Almost Unreal (AC Mix),Roxette,Crash! Boom! Bang! 30th Anniversary Edition,https://music.youtube.com/watch?v=El7GVPUl-r0
"Harleys & Indians (T&A Demo Aug 10, 1993)","Roxette, Per Gessle",Crash! Boom! Bang! 30th Anniversary Edition,https://music.youtube.com/watch?v=8ZSzabARQCQ
"Crash! Boom! Bang! (T&A Demo May 6, 1993)","Roxette, Per Gessle",Crash! Boom! Bang! 30th Anniversary Edition,https://music.youtube.com/watch?v=4ONkGYv8TdA
"Fireworks (T&A Demo Jan 30, 1993)","Roxette, Per Gessle",Crash! Boom! Bang! 30th Anniversary Edition,https://music.youtube.com/watch?v=9Hhi2n51_Tc
"Run To You (T&A Demo Dec 12, 1992)","Roxette, Per Gessle",Crash! Boom! Bang! 30th Anniversary Edition,https://music.youtube.com/watch?v=7_yK0j1-W4E
Sleeping in My Car (The Stockholm Demo Version 1993),Roxette,Crash! Boom! Bang! 30th Anniversary Edition,https://music.youtube.com/watch?v=W8yq0ru_N1w
"Vulnerable (T&A Demo Dec 28, 1990)","Roxette, Per Gessle",Crash! Boom! Bang! 30th Anniversary Edition,https://music.youtube.com/watch?v=l5cABn9XsJI
"The First Girl On The Moon (T&A Demo Dec 20, 1992)","Roxette, Per Gessle",Crash! Boom! Bang! 30th Anniversary Edition,https://music.youtube.com/watch?v=bG2a-BnlJ8s
"Place Your Love (T&A Demo Nov 10, 1992)","Roxette, Per Gessle",Crash! Boom! Bang! 30th Anniversary Edition,https://music.youtube.com/watch?v=H8pv_a6GoeE
"I Love The Sound Of Crashing Guitars (T&A Demo Jun 27, 1993)","Roxette, Per Gessle",Crash! Boom! Bang! 30th Anniversary Edition,https://music.youtube.com/watch?v=gPfpjP9RiFU
"What’s She Like? (T&A Demo Jan 29, 1992)","Roxette, Per Gessle",Crash! Boom! Bang! 30th Anniversary Edition,https://music.youtube.com/watch?v=_Fx_Oy2ZFMI
