titulo,artistas,album,url
Take Your Time,Scatman John,Take Your Time,https://music.youtube.com/watch?v=hIPdkaWYOh8
Scatman's Dance,Scatman John,Take Your Time,https://music.youtube.com/watch?v=PKr93dwVfcA
Chickadee Song,Scatman John,Take Your Time,https://music.youtube.com/watch?v=Q2gGlCGW-Lw
Take Me Away,Scatman John,Take Your Time,https://music.youtube.com/watch?v=Nl4aH3nrvRk
Scat Me If You Can,Scatman John,Take Your Time,https://music.youtube.com/watch?v=8b4KcuzK_NA
I Love Samba,Scatman John,Take Your Time,https://music.youtube.com/watch?v=Zcx1PSk4Xtg
Sorry Seems To Be The Hardest Word,Scatman John,Take Your Time,https://music.youtube.com/watch?v=cWqqUacvjrk
Ichi Ni San....Go,Scatman John,Take Your Time,https://music.youtube.com/watch?v=14PjLte7YA0
Dream Again,Scatman John,Take Your Time,https://music.youtube.com/watch?v=5Uj6brn_dIk
Everyday,Scatman John,Take Your Time,https://music.youtube.com/watch?v=icWo3ftf0jU
Night Train,Scatman John,Take Your Time,https://music.youtube.com/watch?v=DArvvPGv9po
Scatmambo,Scatman John,Take Your Time,https://music.youtube.com/watch?v=fJmVW2klie8
Stop The Rain,Scatman John,Everybody Jam!,https://music.youtube.com/watch?v=DlnF_gEQouU
Everybody Jam!,Scatman John,Everybody Jam!,https://music.youtube.com/watch?v=0h1X5Mir85M
The Invisible Man,Scatman John,Everybody Jam!,https://music.youtube.com/watch?v=d-iJWNeATq0
Let It Go,Scatman John,Everybody Jam!,https://music.youtube.com/watch?v=bCI97y0UHR4
Message To You,Scatman John,Everybody Jam!,https://music.youtube.com/watch?v=mdd8dJnRdt0
(I Want To) Be Someone,Scatman John,Everybody Jam!,https://music.youtube.com/watch?v=82y4XIYue0c
Scatmusic,Scatman John,Everybody Jam!,https://music.youtube.com/watch?v=NSscRlJiD5s
Shut Your Mouth And Open Your Mind,Scatman John,Everybody Jam!,https://music.youtube.com/watch?v=9D1RFKony10
