titulo,artistas,album,url
Gas In The Tank,Scorpions,Rock Believer (Deluxe),https://music.youtube.com/watch?v=uJZxT9pP6d4
Roots In My Boots,Scorpions,Rock Believer (Deluxe),https://music.youtube.com/watch?v=qTCbfzCswV8
Knock 'em Dead,Scorpions,Rock Believer (Deluxe),https://music.youtube.com/watch?v=RWzU3dIP69Q
Rock Believer,Scorpions,Rock Believer (Deluxe),https://music.youtube.com/watch?v=TllvFtkXMBE
Shining Of Your Soul,Scorpions,Rock Believer (Deluxe),https://music.youtube.com/watch?v=6E9-Bcs57Lc
Seventh Sun,Scorpions,Rock Believer (Deluxe),https://music.youtube.com/watch?v=6MUY50Z5SDk
Hot And Cold,Scorpions,Rock Believer (Deluxe),https://music.youtube.com/watch?v=J_tqoVdFY1w
When I Lay My Bones To Rest,Scorpions,Rock Believer (Deluxe),https://music.youtube.com/watch?v=CRYSUIeJ0oY
Peacemaker,Scorpions,Rock Believer (Deluxe),https://music.youtube.com/watch?v=fUWcVNLNvrs
Call Of The Wild,Scorpions,Rock Believer (Deluxe),https://music.youtube.com/watch?v=Pv7nShrnhYE
When You Know (Where You Come From),Scorpions,Rock Believer (Deluxe),https://music.youtube.com/watch?v=syNDdIfKbkw
Shoot For Your Heart,Scorpions,Rock Believer (Deluxe),https://music.youtube.com/watch?v=_Y3f89Ml7WA
When Tomorrow Comes,Scorpions,Rock Believer (Deluxe),https://music.youtube.com/watch?v=dmxbVGRL-ug
Unleash The Beast,Scorpions,Rock Believer (Deluxe),https://music.youtube.com/watch?v=nsI97u45P3Q
Crossing Borders,Scorpions,Rock Believer (Deluxe),https://music.youtube.com/watch?v=_NQaoz-1nf8
When You Know (Where You Come From) (Acoustic Version),Scorpions,Rock Believer (Deluxe),https://music.youtube.com/watch?v=Qc5oJAbKYsM
Going out with a Bang,Scorpions,Return to Forever,https://music.youtube.com/watch?v=1ZqePvl-w9M
We Built This House,Scorpions,Return to Forever,https://music.youtube.com/watch?v=ZgbmDMNu42s
Rock My Car,Scorpions,Return to Forever,https://music.youtube.com/watch?v=zGZ24eEwLAY
House of Cards,Scorpions,Return to Forever,https://music.youtube.com/watch?v=_VwFue8jg_o
All for One,Scorpions,Return to Forever,https://music.youtube.com/watch?v=ErAHh8Ddo_E
Rock 'n' Roll Band,Scorpions,Return to Forever,https://music.youtube.com/watch?v=lWJ01zfQD0w
Catch Your Luck and Play,Scorpions,Return to Forever,https://music.youtube.com/watch?v=rTe-6BJy2vQ
Rollin' Home,Scorpions,Return to Forever,https://music.youtube.com/watch?v=g3DrQCMwmtc
Hard Rockin' the Place,Scorpions,Return to Forever,https://music.youtube.com/watch?v=lD7RbqVG9F4
Eye of the Storm,Scorpions,Return to Forever,https://music.youtube.com/watch?v=8M-FfwBAVFo
The Scratch,Scorpions,Return to Forever,https://music.youtube.com/watch?v=2ldTA_Q-iC4
Gypsy Life,Scorpions,Return to Forever,https://music.youtube.com/watch?v=jFxVGkz7PPQ
He's a Woman - She's a Man,Scorpions,TAKEOFF HOT & HEAVY,https://music.youtube.com/watch?v=None
I've Got to Be Free,Scorpions,TAKEOFF HOT & HEAVY,https://music.youtube.com/watch?v=None
Speedy's Coming,Scorpions,TAKEOFF HOT & HEAVY,https://music.youtube.com/watch?v=None
Catch Your Train,Scorpions,TAKEOFF HOT & HEAVY,https://music.youtube.com/watch?v=None
Dark Lady,Scorpions,TAKEOFF HOT & HEAVY,https://music.youtube.com/watch?v=None
Far Away,Scorpions,TAKEOFF HOT & HEAVY,https://music.youtube.com/watch?v=None
Steamrock Fever,Scorpions,TAKEOFF HOT & HEAVY,https://music.youtube.com/watch?v=None
The Riot Of Our Time,Scorpions,TAKEOFF HOT & HEAVY,https://music.youtube.com/watch?v=8oESFvqpmuk
Robot Man,Scorpions,TAKEOFF HOT & HEAVY,https://music.youtube.com/watch?v=None
Polar Nights,Scorpions,TAKEOFF HOT & HEAVY,https://music.youtube.com/watch?v=None
Raised On Rock,Scorpions,Sting In The Tail,https://music.youtube.com/watch?v=mTefL-OuFMI
Sting In The Tail,Scorpions,Sting In The Tail,https://music.youtube.com/watch?v=hZfQ-RWuMjs
Slave Me,Scorpions,Sting In The Tail,https://music.youtube.com/watch?v=HRKUDokk8hg
The Good Die Young,Scorpions,Sting In The Tail,https://music.youtube.com/watch?v=R6TaB-PmTT0
No Limit,Scorpions,Sting In The Tail,https://music.youtube.com/watch?v=MGxfo1YlS68
Rock Zone,Scorpions,Sting In The Tail,https://music.youtube.com/watch?v=mkfuDQv8CN4
Lorelei,Scorpions,Sting In The Tail,https://music.youtube.com/watch?v=bVa3roKGaeI
Turn You On,Scorpions,Sting In The Tail,https://music.youtube.com/watch?v=NaRDb-G8PMU
Let's Rock!,Scorpions,Sting In The Tail,https://music.youtube.com/watch?v=IheSJ-wyuks
Sly,Scorpions,Sting In The Tail,https://music.youtube.com/watch?v=0pTaIJGLc98
Spirit Of Rock,Scorpions,Sting In The Tail,https://music.youtube.com/watch?v=VmLYI_u77_A
The Best Is Yet To Come,Scorpions,Sting In The Tail,https://music.youtube.com/watch?v=227Yisw50_8
Hour I,Scorpions,Humanity - Hour I,https://music.youtube.com/watch?v=hFPM16lglFQ
The Game of Life,Scorpions,Humanity - Hour I,https://music.youtube.com/watch?v=hYWh9R51uj8
We Were Born to Fly,Scorpions,Humanity - Hour I,https://music.youtube.com/watch?v=Ifz8PSJ1vR4
The Future Never Dies,Scorpions,Humanity - Hour I,https://music.youtube.com/watch?v=96SXepeXzCI
You're Lovin' Me to Death,Scorpions,Humanity - Hour I,https://music.youtube.com/watch?v=qrevrNHLNEs
321,Scorpions,Humanity - Hour I,https://music.youtube.com/watch?v=_yJn-jwLyjw
Love Will Keep Us Alive,Scorpions,Humanity - Hour I,https://music.youtube.com/watch?v=QDgADEU3bvU
We Will Rise Again,Scorpions,Humanity - Hour I,https://music.youtube.com/watch?v=GIZK0JyFOSw
Your Last Song,Scorpions,Humanity - Hour I,https://music.youtube.com/watch?v=VrdbfR3uAdI
Love Is War,Scorpions,Humanity - Hour I,https://music.youtube.com/watch?v=u0Ks0K0Wy88
The Cross,Scorpions,Humanity - Hour I,https://music.youtube.com/watch?v=_q3qcwgm_9g
Humanity,Scorpions,Humanity - Hour I,https://music.youtube.com/watch?v=0755SXCTCN0
New Generation,Scorpions,Unbreakable,https://music.youtube.com/watch?v=owxQ8xvh6kE
Love 'em or Leave 'em,Scorpions,Unbreakable,https://music.youtube.com/watch?v=RHEVXALCClA
Deep and Dark,Scorpions,Unbreakable,https://music.youtube.com/watch?v=J06LntssS6k
Borderline,Scorpions,Unbreakable,https://music.youtube.com/watch?v=OjIC-3tNFhc
Blood Too Hot,Scorpions,Unbreakable,https://music.youtube.com/watch?v=ssaPRv-u_fQ
Maybe I Maybe You,Scorpions,Unbreakable,https://music.youtube.com/watch?v=YDjZb1LvHjY
Someday Is Now,Scorpions,Unbreakable,https://music.youtube.com/watch?v=YaGXdnd3cXk
My City My Town,Scorpions,Unbreakable,https://music.youtube.com/watch?v=4T24qd3G9r0
Through My Eyes,Scorpions,Unbreakable,https://music.youtube.com/watch?v=tmhNzFAWZ8M
Can You Feel It,Scorpions,Unbreakable,https://music.youtube.com/watch?v=ZWEXBzKElns
This Time,Scorpions,Unbreakable,https://music.youtube.com/watch?v=SNyfws9PqOE
She Said,Scorpions,Unbreakable,https://music.youtube.com/watch?v=RYeUwchReeg
Remember the Good Times (Retro Garage Mix),Scorpions,Unbreakable,https://music.youtube.com/watch?v=Mtr8ZaS37Xw
Alien Nation,Scorpions,Face The Heat,https://music.youtube.com/watch?v=Xg6iQxpdgLI
No Pain No Gain,Scorpions,Face The Heat,https://music.youtube.com/watch?v=TiPP2IvJynY
Someone To Touch,Scorpions,Face The Heat,https://music.youtube.com/watch?v=zOewcv6Fu6Y
Under The Same Sun,Scorpions,Face The Heat,https://music.youtube.com/watch?v=MwyXnft6ZVk
Unholy Alliance,Scorpions,Face The Heat,https://music.youtube.com/watch?v=G5BeavTpEe0
Woman,Scorpions,Face The Heat,https://music.youtube.com/watch?v=fKqxB5w4ukg
Hate To Be Nice,Scorpions,Face The Heat,https://music.youtube.com/watch?v=ZkdbKGPir5I
Taxman Woman,Scorpions,Face The Heat,https://music.youtube.com/watch?v=V6yBCPCanQA
Ship Of Fools,Scorpions,Face The Heat,https://music.youtube.com/watch?v=VOqp8s8cPwY
Nightmare Avenue,Scorpions,Face The Heat,https://music.youtube.com/watch?v=vU64EePta6Y
Lonely Nights,Scorpions,Face The Heat,https://music.youtube.com/watch?v=s8SBZdY8hYM
Tease Me Please Me,Scorpions,Crazy World,https://music.youtube.com/watch?v=wENdZneWDYs
Don't Believe Her,Scorpions,Crazy World,https://music.youtube.com/watch?v=DxtbSYnBZB4
To Be With You In Heaven,Scorpions,Crazy World,https://music.youtube.com/watch?v=IbBBJhZiisU
Wind Of Change,Scorpions,Crazy World,https://music.youtube.com/watch?v=n4RjJKxsamQ
Restless Nights,Scorpions,Crazy World,https://music.youtube.com/watch?v=8oUxH3Y_Avg
Lust Or Love,Scorpions,Crazy World,https://music.youtube.com/watch?v=GRsPEeo2Gcg
