titulo,artistas,album,url
Ride The Tiger (Live 1980),Jefferson Starship,Sing To The Sky,https://music.youtube.com/watch?v=Y1TDeQXCAsM
Girl With The Hungry Eyes (Live 1980),Jefferson Starship,Sing To The Sky,https://music.youtube.com/watch?v=7_Xo7tHCGC4
Stranger (Live 1980),Jefferson Starship,Sing To The Sky,https://music.youtube.com/watch?v=x_caVztVHB0
Jane (Live 1980),Jefferson Starship,Sing To The Sky,https://music.youtube.com/watch?v=LrhKCUxsPGk
Awakening (Live 1980),Jefferson Starship,Sing To The Sky,https://music.youtube.com/watch?v=TJlrStg71-Y
Things To Come (Live 1980),Jefferson Starship,Sing To The Sky,https://music.youtube.com/watch?v=wu9L3IrqRN0
Have You Seen The Saucers (Live 1980),Jefferson Starship,Sing To The Sky,https://music.youtube.com/watch?v=Ypjnin96GH0
Light The Sky On Fire (Live 1980),Jefferson Starship,Sing To The Sky,https://music.youtube.com/watch?v=HALRxfyH-Nk
Rock Music (Live 1980),Jefferson Starship,Sing To The Sky,https://music.youtube.com/watch?v=Zxsx8hwYpFM
Dance With The Dragon (Live 1980),Jefferson Starship,Sing To The Sky,https://music.youtube.com/watch?v=XYm26WRMFcs
Somebody To Love (Live 1980),Jefferson Starship,Sing To The Sky,https://music.youtube.com/watch?v=y1xlYWXH12Y
Big City (Live),Jefferson Starship,Big City,https://music.youtube.com/watch?v=nDrcOL3dz64
Play On Love (Live),Jefferson Starship,Big City,https://music.youtube.com/watch?v=zqJV3kM_oh4
Miracles (Live),Jefferson Starship,Big City,https://music.youtube.com/watch?v=2ZXLwyCA93E
With Your Love (Live),Jefferson Starship,Big City,https://music.youtube.com/watch?v=6A5WDcyUK-U
Ride The Tiger (Live),Jefferson Starship,Big City,https://music.youtube.com/watch?v=W6c2wjmcvCA
Somebody To Love (Live),Jefferson Starship,Big City,https://music.youtube.com/watch?v=2GNc7fKAxZ0
Have You Seen The Saucers (Live),Jefferson Starship,Big City,https://music.youtube.com/watch?v=ZV6M9assaZ0
White Rabbit (Live),Jefferson Starship,Big City,https://music.youtube.com/watch?v=RICL7NVlZ1Q
Cruisin' (Live),Jefferson Starship,Big City,https://music.youtube.com/watch?v=VxHN87IDSD0
Play On Love (Live),Jefferson Starship,Big City,https://music.youtube.com/watch?v=1rj1RZatxDU
Hot Water (Live),Jefferson Starship,Big City,https://music.youtube.com/watch?v=d35WaOjP534
Hot Water (Live),Jefferson Starship,Jefferson Starship Live: Touchdown vol. 2,https://music.youtube.com/watch?v=oyVqwFS5zYg
Tuning (Live),Jefferson Starship,Jefferson Starship Live: Touchdown vol. 2,https://music.youtube.com/watch?v=AwPP6YjEPb0
That's For Sure (Live),Jefferson Starship,Jefferson Starship Live: Touchdown vol. 2,https://music.youtube.com/watch?v=j4pvZ11jQzk
Tuning (Live),Jefferson Starship,Jefferson Starship Live: Touchdown vol. 2,https://music.youtube.com/watch?v=jr86uuy5lNY
White Rabbit (Live),Jefferson Starship,Jefferson Starship Live: Touchdown vol. 2,https://music.youtube.com/watch?v=PH3CrTII_78
Sweeter Than Honey / Drum Solo (Live),Jefferson Starship,Jefferson Starship Live: Touchdown vol. 2,https://music.youtube.com/watch?v=Z_Sqwc93Pcg
Volunteers (Live),Jefferson Starship,Jefferson Starship Live: Touchdown vol. 2,https://music.youtube.com/watch?v=hu4MKelygfI
Miracles (Live),Jefferson Starship,Jefferson Starship Live: Touchdown vol. 2,https://music.youtube.com/watch?v=jelcDyF5snk
Goodbye (Live),Jefferson Starship,Jefferson Starship Live: Touchdown vol. 2,https://music.youtube.com/watch?v=hqdlHQ5IQkw
Volunteers Reprise (Live),Jefferson Starship,Jefferson Starship Live: Touchdown vol. 2,https://music.youtube.com/watch?v=fleZ4ZlXV1A
Ride The Tiger (Live),Jefferson Starship,Jefferson Starship Live: Touchdown vol. 1,https://music.youtube.com/watch?v=o0jKa1q8F_c
Somebody To Love (Live),Jefferson Starship,Jefferson Starship Live: Touchdown vol. 1,https://music.youtube.com/watch?v=yG2tBXCcKuA
Cruisin' (Live),Jefferson Starship,Jefferson Starship Live: Touchdown vol. 1,https://music.youtube.com/watch?v=hpwvl1bdowE
Fast Buck Freddie (Live),Jefferson Starship,Jefferson Starship Live: Touchdown vol. 1,https://music.youtube.com/watch?v=aOQ0VVkoohA
Have You Seen The Saucers (Live),Jefferson Starship,Jefferson Starship Live: Touchdown vol. 1,https://music.youtube.com/watch?v=IhRpzXJ9fmk
Rain Break (Live),Jefferson Starship,Jefferson Starship Live: Touchdown vol. 1,https://music.youtube.com/watch?v=OFid0tMeWI4
Big City (Live),Jefferson Starship,Jefferson Starship Live: Touchdown vol. 1,https://music.youtube.com/watch?v=FxaAtzjHFqU
Play On Love (Live),Jefferson Starship,Jefferson Starship Live: Touchdown vol. 1,https://music.youtube.com/watch?v=X4GREWhQzPw
With Your Love (Live),Jefferson Starship,Jefferson Starship Live: Touchdown vol. 1,https://music.youtube.com/watch?v=UhQzEbk6uWY
Break (Live),Jefferson Starship,Jefferson Starship Live: Touchdown vol. 1,https://music.youtube.com/watch?v=ad1uVQpRUHA
St. Charles (Live),Jefferson Starship,Jefferson Starship Live: Touchdown vol. 1,https://music.youtube.com/watch?v=mDs5a_HTiUo
Ride The Tiger (Live),Jefferson Starship,"Sing To The Sky (Live, New York '76)",https://music.youtube.com/watch?v=ZM-6aMZzZcI
Somebody To Love (Live),Jefferson Starship,"Sing To The Sky (Live, New York '76)",https://music.youtube.com/watch?v=IMT7ZO0aVdk
Cruisin' (Live),Jefferson Starship,"Sing To The Sky (Live, New York '76)",https://music.youtube.com/watch?v=tEcbB-Rzdko
Fast Buck Freddie (Live),Jefferson Starship,"Sing To The Sky (Live, New York '76)",https://music.youtube.com/watch?v=X1x-2N75MRM
Have You Seen The Saucers (Live),Jefferson Starship,"Sing To The Sky (Live, New York '76)",https://music.youtube.com/watch?v=rV0v8UzR5G8
Talk #1 (Live),Jefferson Starship,"Sing To The Sky (Live, New York '76)",https://music.youtube.com/watch?v=UXExc_gcAyI
Big City (Live),Jefferson Starship,"Sing To The Sky (Live, New York '76)",https://music.youtube.com/watch?v=p55dr3fH14A
Play On Love (Live),Jefferson Starship,"Sing To The Sky (Live, New York '76)",https://music.youtube.com/watch?v=irauDYTnEhA
With Your Love (Live),Jefferson Starship,"Sing To The Sky (Live, New York '76)",https://music.youtube.com/watch?v=E2-TbjPZXrY
Talk #2 (Live),Jefferson Starship,"Sing To The Sky (Live, New York '76)",https://music.youtube.com/watch?v=1FP-b_NWf3g
St. Charles (Live),Jefferson Starship,"Sing To The Sky (Live, New York '76)",https://music.youtube.com/watch?v=HgK9EoHNppQ
Hot Water (Live),Jefferson Starship,"Sing To The Sky (Live, New York '76)",https://music.youtube.com/watch?v=ZSfJrWah4fE
Talk #3 (Live),Jefferson Starship,"Sing To The Sky (Live, New York '76)",https://music.youtube.com/watch?v=MGi1dmc8Dr4
That's For Sure (Live),Jefferson Starship,"Sing To The Sky (Live, New York '76)",https://music.youtube.com/watch?v=v1MzgixQRvU
Talk #4 (Live),Jefferson Starship,"Sing To The Sky (Live, New York '76)",https://music.youtube.com/watch?v=KzhSZAV1ehg
White Rabbit (Live),Jefferson Starship,"Sing To The Sky (Live, New York '76)",https://music.youtube.com/watch?v=u-Nm6Y2gXrE
Sweeter Than Honey (Live),Jefferson Starship,"Sing To The Sky (Live, New York '76)",https://music.youtube.com/watch?v=dDZScutz5nM
Volounteers (Live),Jefferson Starship,"Sing To The Sky (Live, New York '76)",https://music.youtube.com/watch?v=K767HZBGAtI
Miracles> (Live),Jefferson Starship,"Sing To The Sky (Live, New York '76)",https://music.youtube.com/watch?v=IjgIaL5REHo
Goodbye> (Live),Jefferson Starship,"Sing To The Sky (Live, New York '76)",https://music.youtube.com/watch?v=D8ZemMhpSNI
Volunteers Reprise (Live),Jefferson Starship,"Sing To The Sky (Live, New York '76)",https://music.youtube.com/watch?v=HtkOeQADfmo
It's About Time,Jefferson Starship,Mother of the Sun,https://music.youtube.com/watch?v=LTtfVBc3es4
What Are We Waiting For?,Jefferson Starship,Mother of the Sun,https://music.youtube.com/watch?v=0PhXdhVyHHM
Setting Sun,Jefferson Starship,Mother of the Sun,https://music.youtube.com/watch?v=JhNP3SHTYYg
Runaway Again,Jefferson Starship,Mother of the Sun,https://music.youtube.com/watch?v=qIj27EsBj0Q
Embryonic Journey,Jefferson Starship,Mother of the Sun,https://music.youtube.com/watch?v=JEhD0rJnyMs
Don't Be Sad Anymore,Jefferson Starship,Mother of the Sun,https://music.youtube.com/watch?v=7joh1Qs_fS4
What Are We Waiting For? (Extended),Jefferson Starship,Mother of the Sun,https://music.youtube.com/watch?v=0PhXdhVyHHM
It's About Time,Jefferson Starship,Mother Of The Sun,https://music.youtube.com/watch?v=LTtfVBc3es4
What Are We Waiting For?,Jefferson Starship,Mother Of The Sun,https://music.youtube.com/watch?v=0PhXdhVyHHM
Setting Sun,Jefferson Starship,Mother Of The Sun,https://music.youtube.com/watch?v=JhNP3SHTYYg
Runaway Again,Jefferson Starship,Mother Of The Sun,https://music.youtube.com/watch?v=X--jVAUrmoE
