titulo,artistas,album,url
Synchronicity I,The Police,Synchronicity (Remastered 2003),https://music.youtube.com/watch?v=Si5CSpUCDGY
Walking In Your Footsteps,The Police,Synchronicity (Remastered 2003),https://music.youtube.com/watch?v=trX9gQssm9c
O My God,The Police,Synchronicity (Remastered 2003),https://music.youtube.com/watch?v=SMBtkkFo67M
Mother,The Police,Synchronicity (Remastered 2003),https://music.youtube.com/watch?v=d56MfuZAfwI
Miss Gradenko,The Police,Synchronicity (Remastered 2003),https://music.youtube.com/watch?v=MRDm2tNyX50
Synchronicity II,The Police,Synchronicity (Remastered 2003),https://music.youtube.com/watch?v=o5FPPoLqkCk
Every Breath You Take,The Police,Synchronicity (Remastered 2003),https://music.youtube.com/watch?v=OMOGaugKpzs
King Of Pain,The Police,Synchronicity (Remastered 2003),https://music.youtube.com/watch?v=zebfpYp7qFM
Wrapped Around Your Finger (Remastered 2003),The Police,Synchronicity (Remastered 2003),https://music.youtube.com/watch?v=svWINSRhQU0
Tea In The Sahara,The Police,Synchronicity (Remastered 2003),https://music.youtube.com/watch?v=GMq96oVySRI
Murder By Numbers,The Police,Synchronicity (Remastered 2003),https://music.youtube.com/watch?v=tUq9fURN2VQ
Invisible Sun,The Police,Ghost In The Machine (Alternate Sequence),https://music.youtube.com/watch?v=1VuDjJ9KIxM
Demolition Man,The Police,Ghost In The Machine (Alternate Sequence),https://music.youtube.com/watch?v=vfFUc3YgyRQ
Secret Journey,The Police,Ghost In The Machine (Alternate Sequence),https://music.youtube.com/watch?v=inkW02UD3tM
Darkness,The Police,Ghost In The Machine (Alternate Sequence),https://music.youtube.com/watch?v=NtCA8zO9yTY
Spirits In The Material World,The Police,Ghost In The Machine (Alternate Sequence),https://music.youtube.com/watch?v=BHOevX4DlGk
Too Much Information,The Police,Ghost In The Machine (Alternate Sequence),https://music.youtube.com/watch?v=gaB16FtYs9g
Omegaman,The Police,Ghost In The Machine (Alternate Sequence),https://music.youtube.com/watch?v=pEi_8hrsV1g
One World (Not Three),The Police,Ghost In The Machine (Alternate Sequence),https://music.youtube.com/watch?v=sKP2z3Qw818
Re-Humanize Yourself,The Police,Ghost In The Machine (Alternate Sequence),https://music.youtube.com/watch?v=4ZE2A8V01tk
I Burn For You,The Police,Ghost In The Machine (Alternate Sequence),https://music.youtube.com/watch?v=sZbbmwwUPkQ
Hungry For You (J'Aurais Toujours Faim De Toi),The Police,Ghost In The Machine (Alternate Sequence),https://music.youtube.com/watch?v=boVw9WnWfHE
