titulo,artistas,album,url
El Cantador,Antonio Aguilar,Corridos y Caballos,https://music.youtube.com/watch?v=7NSQkThb-yI
El Patas Blancas,Antonio Aguilar,Corridos y Caballos,https://music.youtube.com/watch?v=ae2n4ee3H-M
Caballo Prieto Azabache,Antonio Aguilar,Corridos y Caballos,https://music.youtube.com/watch?v=brHRIAK9A64
El Moro De Cumpas,Antonio Aguilar,Corridos y Caballos,https://music.youtube.com/watch?v=fwETN8HBvGw
El Alazán Y El Rocío,Antonio Aguilar,Corridos y Caballos,https://music.youtube.com/watch?v=IHXg_r0CoUc
El Siete Leguas,Antonio Aguilar,Corridos y Caballos,https://music.youtube.com/watch?v=1iTIj8NpSYM
Caballo Prieto Afamado,Antonio Aguilar,Corridos y Caballos,https://music.youtube.com/watch?v=IBEMBj0Oaag
El Canciller,Antonio Aguilar,Corridos y Caballos,https://music.youtube.com/watch?v=KiDLlZH2ma0
Adiós Al As De Oros,Antonio Aguilar,Corridos y Caballos,https://music.youtube.com/watch?v=VMNtS8MfoU0
El Potro Lobo Gateado  (La Yegua Colora),Antonio Aguilar,Corridos y Caballos,https://music.youtube.com/watch?v=5-T7KVmVSOo
El Grano De Oro,Antonio Aguilar,Corridos y Caballos,https://music.youtube.com/watch?v=VvHQOfuqGdU
El Caballo Bayo,Antonio Aguilar,Corridos y Caballos,https://music.youtube.com/watch?v=_vYosRUji0c
El Caballo Blanco,Antonio Aguilar,Corridos y Caballos,https://music.youtube.com/watch?v=1ZDk3tc3Mk4
Caballo Alazán Lucero,Antonio Aguilar,Corridos y Caballos,https://music.youtube.com/watch?v=lkGXhSV412A
Caballo Mojino,Antonio Aguilar,Corridos y Caballos,https://music.youtube.com/watch?v=Xj2-p8neUM4
El Lucero y la Dama,Antonio Aguilar,Corridos y Caballos,https://music.youtube.com/watch?v=FBAKH-k6KuI
El Tío Juan (El Corrido Del Tío Juan),Antonio Aguilar,Corridos y Caballos,https://music.youtube.com/watch?v=WbgjlrJI4S0
Adiós Caballos Famosos,Antonio Aguilar,Corridos y Caballos,https://music.youtube.com/watch?v=vg9saKuTfWE
El Pata De Palo,Antonio Aguilar,Corridos y Caballos,https://music.youtube.com/watch?v=-0EIm0uzdu4
La Yegua Bikina,Antonio Aguilar,Corridos y Caballos,https://music.youtube.com/watch?v=IvhSNWIpHY4
